"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","group"
"GO:0007613","memory","4/31","117/18670",4.04416078699869e-05,0.0138874084819866,0.0105986469022814,"266743/5020/5743/6446",4,"aINS_female"
"GO:0001503","ossification","6/31","398/18670",4.23610213338165e-05,0.0138874084819866,0.0105986469022814,"3491/5020/5743/1959/10514/1192",6,"aINS_female"
"GO:0032570","response to progesterone","3/31","45/18670",5.610251489858e-05,0.0138874084819866,0.0105986469022814,"5020/2354/5970",3,"aINS_female"
"GO:0007611","learning or memory","5/31","256/18670",5.91656825500992e-05,0.0138874084819866,0.0105986469022814,"266743/5020/5743/1959/6446",5,"aINS_female"
"GO:0046683","response to organophosphorus","4/31","134/18670",6.86815454104182e-05,0.0138874084819866,0.0105986469022814,"5020/2354/5743/5970",4,"aINS_female"
"GO:0051384","response to glucocorticoid","4/31","146/18670",9.58137030443717e-05,0.0148275669522881,0.011316160733018,"266743/5020/2354/5743",4,"aINS_female"
"GO:0014074","response to purine-containing compound","4/31","149/18670",0.000103661847579346,0.0148275669522881,0.011316160733018,"5020/2354/5743/5970",4,"aINS_female"
"GO:0050890","cognition","5/31","296/18670",0.000117329906645207,0.0148275669522881,0.011316160733018,"266743/5020/5743/1959/6446",5,"aINS_female"
"GO:0031960","response to corticosteroid","4/31","162/18670",0.000143161669021104,0.0160818274867041,0.0122733922096456,"266743/5020/2354/5743",4,"aINS_female"
"GO:0060453","regulation of gastric acid secretion","2/31","12/18670",0.000174286306220658,0.0176203455589086,0.0134475644694466,"5020/6446",2,"aINS_female"
"GO:1901654","response to ketone","4/31","193/18670",0.000279924083706645,0.0244183650832656,0.0186357036868485,"266743/5020/2354/5970",4,"aINS_female"
"GO:0072347","response to anesthetic","3/31","78/18670",0.000289832226507604,0.0244183650832656,0.0186357036868485,"5020/2354/5970",3,"aINS_female"
"GO:0030278","regulation of ossification","4/31","203/18670",0.000339191604294166,0.0263786701493386,0.0201317769998076,"3491/5020/1959/1192",4,"aINS_female"
"GO:0048545","response to steroid hormone","5/31","383/18670",0.000387494117755852,0.0279826109322262,0.0213558788206797,"266743/5020/2354/5743/5970",5,"aINS_female"
