intersect,genes
Nac_female,ENSG00000179813
Nac_female,ENSG00000213085
Nac_female,ENSG00000077327
Nac_female,ENSG00000197057
Nac_female,ENSG00000185149
Nac_female,ENSG00000170160
Nac_female,ENSG00000268500
Nac_female,ENSG00000105607
Nac_female,ENSG00000162643
Nac_female,ENSG00000133639
Nac_female,ENSG00000155287
Nac_female,ENSG00000188933
Nac_female,ENSG00000055118
Nac_female,ENSG00000090238
Nac_female,ENSG00000198815
Nac_female,ENSG00000129009
Nac_female,ENSG00000166448
Nac_female,ENSG00000140488
Nac_female,ENSG00000151092
Nac_female,ENSG00000178397
Nac_female,ENSG00000131323
Nac_female,ENSG00000101945
Nac_female,ENSG00000118689
Nac_female,ENSG00000136156
Nac_female,ENSG00000150051
Nac_female,ENSG00000114354
Nac_female,ENSG00000138623
Nac_female,ENSG00000105976
Nac_female,ENSG00000157502
Nac_female,ENSG00000197177
Nac_female,ENSG00000065609
Nac_female,ENSG00000009830
Nac_female,ENSG00000122034
Nac_female,ENSG00000159840
Nac_female,ENSG00000198133
Nac_female,ENSG00000197826
Nac_female,ENSG00000257591
Nac_female,ENSG00000144191
Nac_female,ENSG00000103245
Nac_female,ENSG00000107404
Nac_female,ENSG00000166840
Nac_female,ENSG00000165175
Nac_female,ENSG00000170185
Nac_female,ENSG00000137166
Nac_female,ENSG00000166532
Nac_female,ENSG00000048052
Nac_female,ENSG00000188042
Nac_female,ENSG00000164087
Nac_female,ENSG00000146469
Nac_female,ENSG00000099957
Nac_female,ENSG00000128564
Nac_female,ENSG00000152611
Nac_female,ENSG00000163032
Nac_female,ENSG00000178602
Nac_female,ENSG00000184156
Nac_female,ENSG00000129824
Nac_female,ENSG00000078098
Nac_female,ENSG00000218891
Nac_female,ENSG00000196843
Nac_female,ENSG00000079101
Nac_female,ENSG00000169203
Nac_female,ENSG00000155087
Nac_female,ENSG00000197208
Nac_female,ENSG00000121900
Nac_female,ENSG00000105048
OFC_female,ENSG00000241343
OFC_female,ENSG00000135486
OFC_female,ENSG00000244687
OFC_female,ENSG00000072501
OFC_female,ENSG00000122566
OFC_female,ENSG00000089335
OFC_female,ENSG00000112357
OFC_female,ENSG00000198938
OFC_female,ENSG00000204576
OFC_female,ENSG00000096746
OFC_female,ENSG00000184208
OFC_female,ENSG00000115053
OFC_female,ENSG00000162755
OFC_female,ENSG00000198824
OFC_female,ENSG00000105323
OFC_female,ENSG00000189089
OFC_female,ENSG00000111481
OFC_female,ENSG00000170043
OFC_female,ENSG00000117410
OFC_female,ENSG00000213235
OFC_female,ENSG00000131469
OFC_female,ENSG00000165215
OFC_female,ENSG00000130749
OFC_female,ENSG00000127922
OFC_female,ENSG00000254870
OFC_female,ENSG00000100941
OFC_female,ENSG00000105372
OFC_female,ENSG00000248527
OFC_female,ENSG00000188243
OFC_female,ENSG00000225067
OFC_female,ENSG00000213018
OFC_female,ENSG00000114455
OFC_female,ENSG00000248592
OFC_female,ENSG00000139291
OFC_female,ENSG00000125386
OFC_female,ENSG00000227694
OFC_female,ENSG00000181038
OFC_female,ENSG00000204104
OFC_female,ENSG00000198918
OFC_female,ENSG00000111843
OFC_female,ENSG00000160818
OFC_female,ENSG00000126005
OFC_female,ENSG00000108349
OFC_female,ENSG00000132478
OFC_female,ENSG00000101844
OFC_female,ENSG00000127540
OFC_female,ENSG00000124614
OFC_female,ENSG00000130816
OFC_female,ENSG00000179085
OFC_female,ENSG00000168066
OFC_female,ENSG00000161328
OFC_female,ENSG00000183978
OFC_female,ENSG00000249768
OFC_female,ENSG00000177464
OFC_female,ENSG00000122515
OFC_female,ENSG00000233927
OFC_female,ENSG00000136536
OFC_female,ENSG00000113845
OFC_female,ENSG00000177144
OFC_female,ENSG00000205937
OFC_female,ENSG00000143442
OFC_female,ENSG00000168060
OFC_female,ENSG00000120992
OFC_female,ENSG00000204923
OFC_female,ENSG00000170632
OFC_female,ENSG00000101040
OFC_female,ENSG00000165271
OFC_female,ENSG00000143742
OFC_female,ENSG00000166444
OFC_female,ENSG00000131467
OFC_female,ENSG00000135070
OFC_female,ENSG00000136238
OFC_female,ENSG00000080802
OFC_female,ENSG00000166971
OFC_female,ENSG00000204370
OFC_female,ENSG00000090905
OFC_female,ENSG00000213420
OFC_female,ENSG00000136573
OFC_female,ENSG00000233163
OFC_female,ENSG00000169221
OFC_female,ENSG00000224578
OFC_female,ENSG00000128059
OFC_female,ENSG00000180264
OFC_female,ENSG00000183161
OFC_female,ENSG00000055070
OFC_female,ENSG00000106344
OFC_female,ENSG00000178449
OFC_female,ENSG00000150625
OFC_female,ENSG00000203618
OFC_female,ENSG00000181873
OFC_female,ENSG00000112031
OFC_female,ENSG00000164967
OFC_female,ENSG00000242221
OFC_female,ENSG00000147138
OFC_female,ENSG00000198744
OFC_female,ENSG00000120159
OFC_female,ENSG00000279800
OFC_female,ENSG00000148337
OFC_female,ENSG00000177576
OFC_female,ENSG00000203950
OFC_female,ENSG00000162231
