intersect,genes
dlPFC_male,ENSG00000197779
dlPFC_male,ENSG00000213170
dlPFC_male,ENSG00000170579
dlPFC_male,ENSG00000099960
dlPFC_male,ENSG00000165874
dlPFC_male,ENSG00000100138
dlPFC_male,ENSG00000141404
dlPFC_male,ENSG00000105701
dlPFC_male,ENSG00000100142
dlPFC_male,ENSG00000150401
dlPFC_male,ENSG00000221914
dlPFC_male,ENSG00000152672
dlPFC_male,ENSG00000155660
dlPFC_male,ENSG00000168878
dlPFC_male,ENSG00000065618
dlPFC_male,ENSG00000167772
dlPFC_male,ENSG00000185689
dlPFC_male,ENSG00000147437
dlPFC_male,ENSG00000116962
dlPFC_male,ENSG00000163710
dlPFC_male,ENSG00000056487
dlPFC_male,ENSG00000174136
dlPFC_male,ENSG00000167550
dlPFC_male,ENSG00000116649
Nac_male:Sub_male,ENSG00000114654
Nac_male:Sub_male,ENSG00000107902
aINS_male:OFC_male,ENSG00000178397
aINS_male:OFC_male,ENSG00000133105
Cg25_male:OFC_male,ENSG00000166111
Cg25_male:Sub_male,ENSG00000214076
Cg25_male:Sub_male,ENSG00000112763
dlPFC_male:Nac_male,ENSG00000173598
dlPFC_male:Nac_male,ENSG00000143630
aINS_male:dlPFC_male,ENSG00000186815
Cg25_male:OFC_male:Sub_male,ENSG00000076248
aINS_male:dlPFC_male:OFC_male:Sub_male,ENSG00000159842
aINS_male:dlPFC_male:Nac_male:OFC_male:Sub_male,ENSG00000198563
Nac_male,ENSG00000121542
Nac_male,ENSG00000161939
Nac_male,ENSG00000172476
Nac_male,ENSG00000177051
Nac_male,ENSG00000277075
Nac_male,ENSG00000204287
Nac_male,ENSG00000100191
Nac_male,ENSG00000198658
Nac_male,ENSG00000219814
Nac_male,ENSG00000183807
Nac_male,ENSG00000273802
Nac_male,ENSG00000124208
Nac_male,ENSG00000181819
Nac_male,ENSG00000221968
Nac_male,ENSG00000144550
Nac_male,ENSG00000132386
Nac_male,ENSG00000166257
Nac_male,ENSG00000145362
Nac_male,ENSG00000144868
Nac_male,ENSG00000103245
Nac_male,ENSG00000162601
Nac_male,ENSG00000102225
Nac_male,ENSG00000178719
Nac_male,ENSG00000132640
Nac_male,ENSG00000174996
Nac_male,ENSG00000145715
Nac_male,ENSG00000186086
Nac_male,ENSG00000006283
Nac_male,ENSG00000105711
Nac_male,ENSG00000157214
Nac_male,ENSG00000006015
Nac_male,ENSG00000176697
Nac_male,ENSG00000162300
Nac_male,ENSG00000040608
Nac_male,ENSG00000179603
Nac_male,ENSG00000162520
Nac_male,ENSG00000073849
Nac_male,ENSG00000116991
Nac_male,ENSG00000165804
Nac_male,ENSG00000205221
Nac_male,ENSG00000121064
Nac_male,ENSG00000164294
Nac_male,ENSG00000105204
Nac_male,ENSG00000166558
Nac_male,ENSG00000156097
Nac_male,ENSG00000125656
Nac_male,ENSG00000176383
Nac_male,ENSG00000106689
Nac_male,ENSG00000203734
Nac_male,ENSG00000153395
Nac_male,ENSG00000108219
Nac_male,ENSG00000196628
Nac_male,ENSG00000230601
Nac_male,ENSG00000143093
Nac_male,ENSG00000159110
Nac_male,ENSG00000143740
Nac_male,ENSG00000156011
Nac_male,ENSG00000117632
Nac_male,ENSG00000277161
Nac_male,ENSG00000104341
Nac_male,ENSG00000070501
Nac_male,ENSG00000136243
Nac_male,ENSG00000147457
Nac_male,ENSG00000107864
Nac_male,ENSG00000148832
Nac_male,ENSG00000122970
Nac_male,ENSG00000163565
Nac_male,ENSG00000105290
Nac_male,ENSG00000165195
Nac_male,ENSG00000071859
Nac_male,ENSG00000265366
Nac_male,ENSG00000178404
Nac_male,ENSG00000104976
Nac_male,ENSG00000244687
Nac_male,ENSG00000238227
Nac_male,ENSG00000102081
Nac_male,ENSG00000156990
Nac_male,ENSG00000029153
Nac_male,ENSG00000166793
Nac_male,ENSG00000159147
Nac_male,ENSG00000188191
Nac_male,ENSG00000114867
Nac_male,ENSG00000163590
Nac_male,ENSG00000040487
Nac_male,ENSG00000105928
Nac_male,ENSG00000077684
Nac_male,ENSG00000078098
Nac_male,ENSG00000198246
Nac_male,ENSG00000113108
Nac_male,ENSG00000138172
Nac_male,ENSG00000073756
Nac_male,ENSG00000162065
Nac_male,ENSG00000165271
Nac_male,ENSG00000107404
Nac_male,ENSG00000198483
Nac_male,ENSG00000131061
Nac_male,ENSG00000198844
Nac_male,ENSG00000138623
Nac_male,ENSG00000177943
Nac_male,ENSG00000106236
Nac_male,ENSG00000171189
Nac_male,ENSG00000160949
Nac_male,ENSG00000170185
Nac_male,ENSG00000225151
Nac_male,ENSG00000124302
Nac_male,ENSG00000143801
Nac_male,ENSG00000101333
Nac_male,ENSG00000074416
Nac_male,ENSG00000171509
Nac_male,ENSG00000248477
Nac_male,ENSG00000250687
Nac_male,ENSG00000008300
Nac_male,ENSG00000185885
Nac_male,ENSG00000073150
Nac_male,ENSG00000225973
Nac_male,ENSG00000145757
Nac_male,ENSG00000061492
OFC_male,ENSG00000118972
OFC_male,ENSG00000108825
OFC_male,ENSG00000248593
OFC_male,ENSG00000065518
OFC_male,ENSG00000229221
OFC_male,ENSG00000134884
OFC_male,ENSG00000188878
OFC_male,ENSG00000217128
OFC_male,ENSG00000137411
OFC_male,ENSG00000163016
OFC_male,ENSG00000154358
OFC_male,ENSG00000188343
OFC_male,ENSG00000117153
OFC_male,ENSG00000104883
OFC_male,ENSG00000239887
OFC_male,ENSG00000112561
OFC_male,ENSG00000132912
