intersect,genes
aINS:dlPFC,ENSG00000186815
aINS:dlPFC,ENSG00000099960
aINS:dlPFC,ENSG00000170579
Cg25:dlPFC,ENSG00000134759
Cg25:dlPFC,ENSG00000198838
Cg25:dlPFC,ENSG00000121039
aINS:Nac:OFC,ENSG00000178397
Cg25:OFC:Sub,ENSG00000076248
aINS:dlPFC:OFC:Sub,ENSG00000159842
Cg25:dlPFC:Nac:OFC,ENSG00000137343
aINS:Cg25:dlPFC:Nac:OFC:Sub,ENSG00000198563
Nac,ENSG00000121542
Nac,ENSG00000161939
Nac,ENSG00000172476
Nac,ENSG00000177051
Nac,ENSG00000277075
Nac,ENSG00000204287
Nac,ENSG00000100191
Nac,ENSG00000198658
Nac,ENSG00000219814
Nac,ENSG00000183807
Nac,ENSG00000273802
Nac,ENSG00000124208
Nac,ENSG00000181819
Nac,ENSG00000179813
Nac,ENSG00000213085
Nac,ENSG00000077327
Nac,ENSG00000197057
Nac,ENSG00000170160
Nac,ENSG00000268500
Nac,ENSG00000105607
Nac,ENSG00000162643
Nac,ENSG00000133639
Nac,ENSG00000155287
Nac,ENSG00000188933
Nac,ENSG00000221968
Nac,ENSG00000144550
Nac,ENSG00000132386
Nac,ENSG00000166257
Nac,ENSG00000145362
Nac,ENSG00000144868
Nac,ENSG00000103245
Nac,ENSG00000162601
Nac,ENSG00000102225
Nac,ENSG00000178719
Nac,ENSG00000132640
Nac,ENSG00000174996
Nac,ENSG00000145715
Nac,ENSG00000186086
Nac,ENSG00000006283
Nac,ENSG00000105711
Nac,ENSG00000157214
Nac,ENSG00000006015
Nac,ENSG00000176697
Nac,ENSG00000162300
Nac,ENSG00000040608
Nac,ENSG00000179603
Nac,ENSG00000162520
Nac,ENSG00000073849
Nac,ENSG00000116991
Nac,ENSG00000205221
Nac,ENSG00000121064
Nac,ENSG00000164294
Nac,ENSG00000105204
Nac,ENSG00000166558
Nac,ENSG00000125656
Nac,ENSG00000176383
Nac,ENSG00000106689
Nac,ENSG00000203734
Nac,ENSG00000153395
Nac,ENSG00000108219
Nac,ENSG00000196628
Nac,ENSG00000143093
Nac,ENSG00000159110
Nac,ENSG00000143740
Nac,ENSG00000156011
Nac,ENSG00000117632
Nac,ENSG00000277161
Nac,ENSG00000070501
Nac,ENSG00000136243
Nac,ENSG00000147457
Nac,ENSG00000107864
Nac,ENSG00000148832
Nac,ENSG00000122970
Nac,ENSG00000163565
Nac,ENSG00000105290
Nac,ENSG00000165195
Nac,ENSG00000071859
Nac,ENSG00000265366
Nac,ENSG00000178404
Nac,ENSG00000104976
Nac,ENSG00000238227
Nac,ENSG00000102081
Nac,ENSG00000156990
Nac,ENSG00000029153
Nac,ENSG00000166793
Nac,ENSG00000188191
Nac,ENSG00000114867
Nac,ENSG00000163590
Nac,ENSG00000040487
Nac,ENSG00000105928
Nac,ENSG00000078098
Nac,ENSG00000198246
Nac,ENSG00000113108
Nac,ENSG00000138172
Nac,ENSG00000073756
Nac,ENSG00000162065
Nac,ENSG00000107404
Nac,ENSG00000198483
Nac,ENSG00000131061
Nac,ENSG00000198844
Nac,ENSG00000138623
Nac,ENSG00000177943
Nac,ENSG00000106236
Nac,ENSG00000171189
Nac,ENSG00000160949
Nac,ENSG00000170185
Nac,ENSG00000225151
Nac,ENSG00000124302
Nac,ENSG00000143801
Nac,ENSG00000101333
Nac,ENSG00000074416
Nac,ENSG00000171509
Nac,ENSG00000055118
Nac,ENSG00000090238
Nac,ENSG00000198815
Nac,ENSG00000129009
Nac,ENSG00000166448
Nac,ENSG00000140488
Nac,ENSG00000151092
Nac,ENSG00000131323
Nac,ENSG00000101945
Nac,ENSG00000118689
Nac,ENSG00000114354
Nac,ENSG00000105976
Nac,ENSG00000157502
Nac,ENSG00000197177
Nac,ENSG00000065609
Nac,ENSG00000009830
Nac,ENSG00000122034
Nac,ENSG00000159840
Nac,ENSG00000198133
Nac,ENSG00000197826
Nac,ENSG00000257591
Nac,ENSG00000144191
Nac,ENSG00000166840
Nac,ENSG00000165175
Nac,ENSG00000137166
Nac,ENSG00000166532
Nac,ENSG00000048052
Nac,ENSG00000188042
Nac,ENSG00000164087
Nac,ENSG00000146469
Nac,ENSG00000099957
Nac,ENSG00000163032
Nac,ENSG00000178602
Nac,ENSG00000184156
Nac,ENSG00000129824
Nac,ENSG00000218891
Nac,ENSG00000196843
Nac,ENSG00000079101
Nac,ENSG00000169203
Nac,ENSG00000155087
