intersect,genes
female:male,ENSG00000185149
female:male,ENSG00000198563
female:male,ENSG00000118972
female:male,ENSG00000244687
female:male,ENSG00000131469
female:male,ENSG00000136536
female:male,ENSG00000165271
female:male,ENSG00000169221
female:male,ENSG00000101294
female:male,ENSG00000163586
female:male,ENSG00000237649
female:male,ENSG00000189127
female:male,ENSG00000163872
female:male,ENSG00000178397
female:male,ENSG00000136156
female:male,ENSG00000150051
female:male,ENSG00000138623
female:male,ENSG00000103245
female:male,ENSG00000107404
female:male,ENSG00000170185
female:male,ENSG00000128564
female:male,ENSG00000152611
female:male,ENSG00000078098
female:male,ENSG00000110075
female:male,ENSG00000134884
female:male,ENSG00000156097
female:male,ENSG00000197746
female:male,ENSG00000159147
female:male,ENSG00000145757
female:male,ENSG00000188089
female:male,ENSG00000205220
female:male,ENSG00000076248
female:male,ENSG00000089169
female:male,ENSG00000114480
female:male,ENSG00000159685
female:male,ENSG00000230601
female:male,ENSG00000134759
female:male,ENSG00000104341
female:male,ENSG00000145050
female:male,ENSG00000099960
female:male,ENSG00000077684
female:male,ENSG00000170579
female:male,ENSG00000078269
female:male,ENSG00000165804
female:male,ENSG00000099331
female:male,ENSG00000115457
female:male,ENSG00000239887
female:male,ENSG00000121039
female:male,ENSG00000172889
female:male,ENSG00000104886
female:male,ENSG00000114204
female:male,ENSG00000154096
male,ENSG00000121542
male,ENSG00000161939
male,ENSG00000172476
male,ENSG00000177051
male,ENSG00000277075
male,ENSG00000204287
male,ENSG00000100191
male,ENSG00000198658
male,ENSG00000219814
male,ENSG00000183807
male,ENSG00000273802
male,ENSG00000124208
male,ENSG00000181819
male,ENSG00000159842
male,ENSG00000108825
male,ENSG00000248593
male,ENSG00000065518
male,ENSG00000229221
male,ENSG00000197779
male,ENSG00000213170
male,ENSG00000241644
male,ENSG00000113460
male,ENSG00000285607
male,ENSG00000104998
male,ENSG00000213569
male,ENSG00000171792
male,ENSG00000123815
male,ENSG00000008323
male,ENSG00000105143
male,ENSG00000184524
male,ENSG00000144591
male,ENSG00000197380
male,ENSG00000184897
male,ENSG00000187398
male,ENSG00000174197
male,ENSG00000123329
male,ENSG00000130224
male,ENSG00000144278
male,ENSG00000135315
male,ENSG00000197748
male,ENSG00000128298
male,ENSG00000172361
male,ENSG00000230097
male,ENSG00000219507
male,ENSG00000082805
male,ENSG00000180155
male,ENSG00000118514
male,ENSG00000198794
male,ENSG00000105877
male,ENSG00000198618
male,ENSG00000151332
male,ENSG00000172262
male,ENSG00000135205
male,ENSG00000146416
male,ENSG00000149925
male,ENSG00000118412
male,ENSG00000117013
male,ENSG00000151422
male,ENSG00000122691
male,ENSG00000117425
male,ENSG00000197121
male,ENSG00000136770
male,ENSG00000154473
male,ENSG00000154479
male,ENSG00000173641
male,ENSG00000105223
male,ENSG00000145779
male,ENSG00000070423
male,ENSG00000177398
male,ENSG00000114391
male,ENSG00000044459
male,ENSG00000256310
male,ENSG00000013725
male,ENSG00000197483
male,ENSG00000004059
male,ENSG00000177200
male,ENSG00000275048
male,ENSG00000139675
male,ENSG00000165288
male,ENSG00000099917
male,ENSG00000203780
male,ENSG00000179855
male,ENSG00000167103
male,ENSG00000071553
male,ENSG00000144674
male,ENSG00000215867
male,ENSG00000119397
male,ENSG00000228300
male,ENSG00000157873
male,ENSG00000187481
male,ENSG00000187416
male,ENSG00000165113
male,ENSG00000168539
male,ENSG00000130479
male,ENSG00000160813
male,ENSG00000214076
male,ENSG00000167861
male,ENSG00000138777
male,ENSG00000172794
male,ENSG00000137942
male,ENSG00000203855
male,ENSG00000167733
male,ENSG00000106683
male,ENSG00000151466
male,ENSG00000170374
male,ENSG00000220563
male,ENSG00000112763
male,ENSG00000186577
male,ENSG00000179611
male,ENSG00000236565
male,ENSG00000123643
male,ENSG00000198887
male,ENSG00000171944
male,ENSG00000076662
male,ENSG00000135090
male,ENSG00000152208
male,ENSG00000147604
male,ENSG00000141854
male,ENSG00000182247
male,ENSG00000198856
male,ENSG00000163939
male,ENSG00000129534
male,ENSG00000170222
male,ENSG00000142669
male,ENSG00000203661
male,ENSG00000049449
male,ENSG00000185834
male,ENSG00000155511
male,ENSG00000106069
male,ENSG00000053438
male,ENSG00000164099
male,ENSG00000183665
male,ENSG00000220804
male,ENSG00000078814
male,ENSG00000114654
male,ENSG00000117069
male,ENSG00000215388
male,ENSG00000185052
male,ENSG00000184307
male,ENSG00000147041
male,ENSG00000119401
male,ENSG00000146386
male,ENSG00000119698
male,ENSG00000263142
male,ENSG00000197859
male,ENSG00000134291
male,ENSG00000204267
male,ENSG00000105518
male,ENSG00000140623
male,ENSG00000144668
male,ENSG00000198185
male,ENSG00000178163
male,ENSG00000175182
male,ENSG00000147400
male,ENSG00000163491
male,ENSG00000182481
male,ENSG00000162437
male,ENSG00000109689
male,ENSG00000089847
male,ENSG00000126217
male,ENSG00000172782
male,ENSG00000213996
male,ENSG00000077264
male,ENSG00000117477
male,ENSG00000181467
male,ENSG00000204498
male,ENSG00000140284
male,ENSG00000219294
male,ENSG00000271207
male,ENSG00000116885
male,ENSG00000011566
male,ENSG00000051596
male,ENSG00000157211
male,ENSG00000109466
male,ENSG00000151490
male,ENSG00000213585
male,ENSG00000169118
male,ENSG00000197798
male,ENSG00000169282
male,ENSG00000107937
male,ENSG00000250982
male,ENSG00000133107
male,ENSG00000163630
male,ENSG00000116191
male,ENSG00000161021
male,ENSG00000270326
male,ENSG00000163468
male,ENSG00000213816
male,ENSG00000162066
male,ENSG00000047249
male,ENSG00000127329
male,ENSG00000171759
male,ENSG00000156140
male,ENSG00000124486
male,ENSG00000229184
male,ENSG00000174684
male,ENSG00000147650
male,ENSG00000154654
male,ENSG00000156261
male,ENSG00000242372
male,ENSG00000277883
male,ENSG00000259330
male,ENSG00000089094
male,ENSG00000221968
male,ENSG00000144550
male,ENSG00000132386
male,ENSG00000166257
male,ENSG00000145362
male,ENSG00000144868
male,ENSG00000162601
male,ENSG00000102225
male,ENSG00000178719
male,ENSG00000132640
male,ENSG00000174996
male,ENSG00000145715
male,ENSG00000186086
male,ENSG00000006283
male,ENSG00000105711
male,ENSG00000157214
male,ENSG00000006015
male,ENSG00000176697
male,ENSG00000162300
male,ENSG00000040608
male,ENSG00000179603
male,ENSG00000162520
male,ENSG00000073849
male,ENSG00000116991
male,ENSG00000205221
male,ENSG00000121064
male,ENSG00000164294
male,ENSG00000105204
male,ENSG00000166558
male,ENSG00000125656
male,ENSG00000176383
male,ENSG00000106689
male,ENSG00000203734
male,ENSG00000153395
male,ENSG00000108219
male,ENSG00000196628
male,ENSG00000143093
male,ENSG00000159110
male,ENSG00000143740
male,ENSG00000156011
male,ENSG00000117632
male,ENSG00000277161
male,ENSG00000070501
male,ENSG00000136243
male,ENSG00000147457
male,ENSG00000107864
male,ENSG00000148832
male,ENSG00000122970
male,ENSG00000163565
male,ENSG00000105290
male,ENSG00000165195
male,ENSG00000071859
male,ENSG00000265366
male,ENSG00000178404
male,ENSG00000104976
male,ENSG00000238227
male,ENSG00000173598
male,ENSG00000102081
male,ENSG00000156990
male,ENSG00000029153
male,ENSG00000166793
male,ENSG00000188191
male,ENSG00000114867
male,ENSG00000163590
male,ENSG00000040487
male,ENSG00000105928
male,ENSG00000198246
male,ENSG00000113108
male,ENSG00000138172
male,ENSG00000073756
male,ENSG00000162065
male,ENSG00000198483
male,ENSG00000131061
male,ENSG00000198844
male,ENSG00000177943
male,ENSG00000106236
male,ENSG00000107902
male,ENSG00000143630
male,ENSG00000171189
male,ENSG00000160949
male,ENSG00000225151
male,ENSG00000124302
male,ENSG00000143801
male,ENSG00000101333
male,ENSG00000074416
male,ENSG00000171509
male,ENSG00000188878
male,ENSG00000217128
male,ENSG00000137411
male,ENSG00000163016
male,ENSG00000154358
male,ENSG00000188343
male,ENSG00000117153
male,ENSG00000104883
male,ENSG00000112561
male,ENSG00000132912
male,ENSG00000182185
male,ENSG00000132196
male,ENSG00000174292
male,ENSG00000165322
male,ENSG00000163378
male,ENSG00000159247
male,ENSG00000185803
male,ENSG00000107372
male,ENSG00000140835
male,ENSG00000197520
male,ENSG00000133105
male,ENSG00000134463
male,ENSG00000142089
male,ENSG00000197283
male,ENSG00000197734
male,ENSG00000187815
male,ENSG00000146425
male,ENSG00000140009
male,ENSG00000110660
male,ENSG00000133706
male,ENSG00000111358
male,ENSG00000166111
male,ENSG00000147364
male,ENSG00000153975
male,ENSG00000100321
male,ENSG00000197415
male,ENSG00000134602
male,ENSG00000165874
male,ENSG00000100138
male,ENSG00000141404
male,ENSG00000186815
male,ENSG00000105701
male,ENSG00000100142
male,ENSG00000150401
male,ENSG00000221914
male,ENSG00000152672
male,ENSG00000155660
male,ENSG00000168878
male,ENSG00000065618
male,ENSG00000172969
male,ENSG00000070961
male,ENSG00000213047
male,ENSG00000109971
male,ENSG00000205609
male,ENSG00000074317
male,ENSG00000196498
male,ENSG00000164483
male,ENSG00000172809
male,ENSG00000084207
male,ENSG00000153207
male,ENSG00000130204
male,ENSG00000114062
male,ENSG00000184863
male,ENSG00000135686
male,ENSG00000137207
male,ENSG00000139620
male,ENSG00000110324
male,ENSG00000270011
male,ENSG00000184432
male,ENSG00000139200
male,ENSG00000101199
male,ENSG00000145826
male,ENSG00000206140
male,ENSG00000112078
male,ENSG00000240038
male,ENSG00000072756
male,ENSG00000163596
male,ENSG00000071082
male,ENSG00000109475
male,ENSG00000179889
male,ENSG00000113456
male,ENSG00000242173
male,ENSG00000163126
male,ENSG00000124172
male,ENSG00000112062
male,ENSG00000131725
male,ENSG00000180817
male,ENSG00000151572
male,ENSG00000164929
male,ENSG00000187243
male,ENSG00000166478
male,ENSG00000196169
male,ENSG00000042317
male,ENSG00000176956
male,ENSG00000186350
male,ENSG00000151718
male,ENSG00000008382
male,ENSG00000116171
male,ENSG00000157557
male,ENSG00000099364
male,ENSG00000135905
male,ENSG00000136861
male,ENSG00000173327
male,ENSG00000103024
male,ENSG00000114646
male,ENSG00000154330
male,ENSG00000102547
male,ENSG00000090097
male,ENSG00000145526
male,ENSG00000141013
male,ENSG00000164329
male,ENSG00000221882
male,ENSG00000081189
male,ENSG00000157330
male,ENSG00000143156
male,ENSG00000120500
male,ENSG00000009413
male,ENSG00000057294
male,ENSG00000108018
male,ENSG00000186204
male,ENSG00000130511
male,ENSG00000133115
male,ENSG00000196312
male,ENSG00000115649
male,ENSG00000137075
male,ENSG00000140481
male,ENSG00000130940
male,ENSG00000137274
male,ENSG00000106066
male,ENSG00000171295
male,ENSG00000167173
male,ENSG00000105829
male,ENSG00000205356
male,ENSG00000184009
male,ENSG00000140873
male,ENSG00000173567
male,ENSG00000112414
male,ENSG00000162618
male,ENSG00000106624
male,ENSG00000180777
male,ENSG00000057663
male,ENSG00000139044
male,ENSG00000235505
male,ENSG00000141570
male,ENSG00000134057
male,ENSG00000107443
male,ENSG00000116815
male,ENSG00000166091
male,ENSG00000102879
male,ENSG00000116133
male,ENSG00000134516
male,ENSG00000100129
male,ENSG00000240445
male,ENSG00000105255
male,ENSG00000226124
male,ENSG00000167674
male,ENSG00000102241
male,ENSG00000148943
male,ENSG00000146006
male,ENSG00000168067
male,ENSG00000090971
male,ENSG00000178685
male,ENSG00000174827
male,ENSG00000183571
male,ENSG00000166428
male,ENSG00000163932
male,ENSG00000204628
male,ENSG00000117602
male,ENSG00000137275
