intersect,genes
DGE:DTE:DTU,ENSG00000146416
DGE,ENSG00000121542
DGE,ENSG00000161939
DGE,ENSG00000172476
DGE,ENSG00000177051
DGE,ENSG00000277075
DGE,ENSG00000204287
DGE,ENSG00000100191
DGE,ENSG00000198658
DGE,ENSG00000219814
DGE,ENSG00000183807
DGE,ENSG00000198563
DGE,ENSG00000273802
DGE,ENSG00000124208
DGE,ENSG00000181819
DGE,ENSG00000179813
DGE,ENSG00000213085
DGE,ENSG00000077327
DGE,ENSG00000197057
DGE,ENSG00000185149
DGE,ENSG00000170160
DGE,ENSG00000268500
DGE,ENSG00000105607
DGE,ENSG00000162643
DGE,ENSG00000155287
DGE,ENSG00000188933
DGE,ENSG00000159842
DGE,ENSG00000108825
DGE,ENSG00000248593
DGE,ENSG00000065518
DGE,ENSG00000229221
DGE,ENSG00000241343
DGE,ENSG00000122566
DGE,ENSG00000089335
DGE,ENSG00000198938
DGE,ENSG00000096746
DGE,ENSG00000184208
DGE,ENSG00000162755
DGE,ENSG00000147145
DGE,ENSG00000105323
DGE,ENSG00000189089
DGE,ENSG00000170043
DGE,ENSG00000117410
DGE,ENSG00000213235
DGE,ENSG00000165215
DGE,ENSG00000130749
DGE,ENSG00000127922
DGE,ENSG00000254870
DGE,ENSG00000248527
DGE,ENSG00000225067
DGE,ENSG00000213018
DGE,ENSG00000236523
DGE,ENSG00000114455
DGE,ENSG00000125386
DGE,ENSG00000227694
DGE,ENSG00000181038
DGE,ENSG00000204104
DGE,ENSG00000160818
DGE,ENSG00000126005
DGE,ENSG00000108349
DGE,ENSG00000132478
DGE,ENSG00000101844
DGE,ENSG00000127540
DGE,ENSG00000124614
DGE,ENSG00000130816
DGE,ENSG00000179085
DGE,ENSG00000168066
DGE,ENSG00000161328
DGE,ENSG00000249768
DGE,ENSG00000177464
DGE,ENSG00000122515
DGE,ENSG00000233927
DGE,ENSG00000136536
DGE,ENSG00000177144
DGE,ENSG00000205937
DGE,ENSG00000143442
DGE,ENSG00000168060
DGE,ENSG00000120992
DGE,ENSG00000204923
DGE,ENSG00000170632
DGE,ENSG00000101040
DGE,ENSG00000166444
DGE,ENSG00000166435
DGE,ENSG00000131467
DGE,ENSG00000135070
DGE,ENSG00000136238
DGE,ENSG00000080802
DGE,ENSG00000166971
DGE,ENSG00000090905
DGE,ENSG00000213420
DGE,ENSG00000136573
DGE,ENSG00000233163
DGE,ENSG00000169221
DGE,ENSG00000224578
DGE,ENSG00000128059
DGE,ENSG00000180264
DGE,ENSG00000183161
DGE,ENSG00000055070
DGE,ENSG00000178449
DGE,ENSG00000150625
DGE,ENSG00000203618
DGE,ENSG00000181873
DGE,ENSG00000112031
DGE,ENSG00000164967
DGE,ENSG00000242221
DGE,ENSG00000144820
DGE,ENSG00000147138
DGE,ENSG00000198744
DGE,ENSG00000120159
DGE,ENSG00000279800
DGE,ENSG00000148337
DGE,ENSG00000203950
DGE,ENSG00000162231
DGE,ENSG00000197472
DGE,ENSG00000135363
DGE,ENSG00000160392
DGE,ENSG00000143569
DGE,ENSG00000164393
DGE,ENSG00000100804
DGE,ENSG00000143570
DGE,ENSG00000102390
DGE,ENSG00000204060
DGE,ENSG00000276291
DGE,ENSG00000157657
DGE,ENSG00000142408
DGE,ENSG00000141456
DGE,ENSG00000173041
DGE,ENSG00000140995
DGE,ENSG00000102524
DGE,ENSG00000226632
DGE,ENSG00000197982
DGE,ENSG00000105698
DGE,ENSG00000173559
DGE,ENSG00000132388
DGE,ENSG00000142751
DGE,ENSG00000180953
DGE,ENSG00000143450
DGE,ENSG00000247627
DGE,ENSG00000163382
DGE,ENSG00000240435
DGE,ENSG00000151665
DGE,ENSG00000213920
DGE,ENSG00000063177
DGE,ENSG00000229014
DGE,ENSG00000175467
DGE,ENSG00000070366
DGE,ENSG00000185864
DGE,ENSG00000275023
DGE,ENSG00000164096
DGE,ENSG00000123552
DGE,ENSG00000133624
DGE,ENSG00000127616
DGE,ENSG00000142039
DGE,ENSG00000152684
DGE,ENSG00000253488
DGE,ENSG00000156304
DGE,ENSG00000153443
DGE,ENSG00000180228
DGE,ENSG00000124469
DGE,ENSG00000081692
DGE,ENSG00000153561
DGE,ENSG00000186665
DGE,ENSG00000235619
DGE,ENSG00000176871
DGE,ENSG00000146776
DGE,ENSG00000278505
DGE,ENSG00000241890
DGE,ENSG00000204866
DGE,ENSG00000166575
DGE,ENSG00000241859
DGE,ENSG00000235655
DGE,ENSG00000197779
DGE,ENSG00000213170
DGE,ENSG00000236474
DGE,ENSG00000254512
DGE,ENSG00000174501
DGE,ENSG00000183638
DGE,ENSG00000059588
DGE,ENSG00000259339
DGE,ENSG00000072121
DGE,ENSG00000166147
DGE,ENSG00000259318
DGE,ENSG00000198064
DGE,ENSG00000035403
DGE,ENSG00000235674
DGE,ENSG00000177984
DGE,ENSG00000215165
DGE,ENSG00000088320
DGE,ENSG00000212643
DGE,ENSG00000165091
DGE,ENSG00000120798
DGE,ENSG00000132849
DGE,ENSG00000234227
DGE,ENSG00000116560
DGE,ENSG00000188624
DGE,ENSG00000114374
DGE,ENSG00000237406
DGE,ENSG00000196204
DGE,ENSG00000218186
DGE,ENSG00000214189
DGE,ENSG00000257966
DGE,ENSG00000125633
DGE,ENSG00000214244
DGE,ENSG00000128383
DGE,ENSG00000126759
DGE,ENSG00000100024
DGE,ENSG00000138796
DGE,ENSG00000171819
DGE,ENSG00000160117
DGE,ENSG00000180708
DGE,ENSG00000149380
DGE,ENSG00000107614
DGE,ENSG00000206159
DGE,ENSG00000139547
DGE,ENSG00000185031
DGE,ENSG00000196597
DGE,ENSG00000154102
DGE,ENSG00000273762
DGE,ENSG00000251400
DGE,ENSG00000259378
DGE,ENSG00000241697
DGE,ENSG00000081791
DGE,ENSG00000227331
DGE,ENSG00000149716
DGE,ENSG00000168405
DGE,ENSG00000274276
DGE,ENSG00000214988
DGE,ENSG00000089280
DGE,ENSG00000143748
DGE,ENSG00000257195
DGE,ENSG00000106459
DGE,ENSG00000235370
DGE,ENSG00000167080
DGE,ENSG00000237223
DGE,ENSG00000232230
DGE,ENSG00000113263
DGE,ENSG00000176422
DGE,ENSG00000131797
DGE,ENSG00000183604
DGE,ENSG00000260818
DGE,ENSG00000180116
DGE,ENSG00000138472
DGE,ENSG00000109771
DGE,ENSG00000163534
DGE,ENSG00000227500
DGE,ENSG00000106004
DGE,ENSG00000109881
DGE,ENSG00000132915
DGE,ENSG00000154743
DGE,ENSG00000155833
DGE,ENSG00000147789
DGE,ENSG00000078403
DGE,ENSG00000168096
DGE,ENSG00000215887
DGE,ENSG00000258233
DGE,ENSG00000229994
DGE,ENSG00000234562
DGE,ENSG00000204590
DGE,ENSG00000176040
DGE,ENSG00000102265
DGE,ENSG00000168014
DGE,ENSG00000172543
DGE,ENSG00000228753
DGE,ENSG00000204592
DGE,ENSG00000158169
DGE,ENSG00000167757
DGE,ENSG00000160856
DGE,ENSG00000198715
DGE,ENSG00000225198
DGE,ENSG00000132394
DGE,ENSG00000198393
DGE,ENSG00000233966
DGE,ENSG00000140986
DGE,ENSG00000093217
DGE,ENSG00000261528
DGE,ENSG00000223733
DGE,ENSG00000242338
DGE,ENSG00000228810
DGE,ENSG00000258890
DGE,ENSG00000260266
DGE,ENSG00000249206
DGE,ENSG00000225650
DGE,ENSG00000106133
DGE,ENSG00000142513
DGE,ENSG00000134698
DGE,ENSG00000183439
DGE,ENSG00000258024
DGE,ENSG00000143344
DGE,ENSG00000240972
DGE,ENSG00000166888
DGE,ENSG00000109084
DGE,ENSG00000258571
DGE,ENSG00000230593
DGE,ENSG00000178935
DGE,ENSG00000178802
DGE,ENSG00000229419
DGE,ENSG00000197614
DGE,ENSG00000254449
DGE,ENSG00000218226
DGE,ENSG00000139624
DGE,ENSG00000127774
DGE,ENSG00000197849
DGE,ENSG00000105664
DGE,ENSG00000188676
DGE,ENSG00000176268
DGE,ENSG00000249226
DGE,ENSG00000178917
DGE,ENSG00000248871
DGE,ENSG00000124091
DGE,ENSG00000213484
DGE,ENSG00000283101
DGE,ENSG00000228328
DGE,ENSG00000134627
DGE,ENSG00000220867
DGE,ENSG00000141696
DGE,ENSG00000182347
DGE,ENSG00000088356
DGE,ENSG00000142910
DGE,ENSG00000237887
DGE,ENSG00000219222
DGE,ENSG00000105186
DGE,ENSG00000131746
DGE,ENSG00000236152
DGE,ENSG00000127589
DGE,ENSG00000270585
DGE,ENSG00000135976
DGE,ENSG00000239840
DGE,ENSG00000123485
DGE,ENSG00000178607
DGE,ENSG00000137857
DGE,ENSG00000134013
DGE,ENSG00000224003
DGE,ENSG00000228057
DGE,ENSG00000170291
DGE,ENSG00000123843
DGE,ENSG00000167196
DGE,ENSG00000144644
DGE,ENSG00000182983
DGE,ENSG00000142661
DGE,ENSG00000173077
DGE,ENSG00000149483
DGE,ENSG00000196993
DGE,ENSG00000225008
DGE,ENSG00000217416
DGE,ENSG00000174944
DGE,ENSG00000185823
DGE,ENSG00000185436
DGE,ENSG00000248771
DGE,ENSG00000166523
DGE,ENSG00000217783
DGE,ENSG00000223984
DGE,ENSG00000189051
DGE,ENSG00000227073
DGE,ENSG00000099977
DGE,ENSG00000241644
DGE,ENSG00000113460
DGE,ENSG00000285607
DGE,ENSG00000104998
DGE,ENSG00000237649
DGE,ENSG00000213569
DGE,ENSG00000123815
DGE,ENSG00000008323
DGE,ENSG00000105143
DGE,ENSG00000197380
DGE,ENSG00000184897
DGE,ENSG00000187398
DGE,ENSG00000174197
DGE,ENSG00000123329
DGE,ENSG00000130224
DGE,ENSG00000144278
DGE,ENSG00000135315
DGE,ENSG00000197748
DGE,ENSG00000128298
DGE,ENSG00000172361
DGE,ENSG00000230097
DGE,ENSG00000219507
DGE,ENSG00000082805
DGE,ENSG00000180155
DGE,ENSG00000118514
DGE,ENSG00000198794
DGE,ENSG00000105877
DGE,ENSG00000198618
DGE,ENSG00000151332
DGE,ENSG00000172262
DGE,ENSG00000135205
DGE,ENSG00000149925
DGE,ENSG00000118412
DGE,ENSG00000117013
DGE,ENSG00000151422
DGE,ENSG00000117425
DGE,ENSG00000197121
DGE,ENSG00000136770
DGE,ENSG00000154479
DGE,ENSG00000173641
DGE,ENSG00000105223
DGE,ENSG00000070423
DGE,ENSG00000177398
DGE,ENSG00000044459
DGE,ENSG00000256310
DGE,ENSG00000013725
DGE,ENSG00000197483
DGE,ENSG00000004059
DGE,ENSG00000177200
DGE,ENSG00000275048
DGE,ENSG00000139675
DGE,ENSG00000165288
DGE,ENSG00000099917
DGE,ENSG00000203780
DGE,ENSG00000179855
DGE,ENSG00000167103
DGE,ENSG00000071553
DGE,ENSG00000144674
DGE,ENSG00000215867
DGE,ENSG00000119397
DGE,ENSG00000228300
DGE,ENSG00000157873
DGE,ENSG00000189127
DGE,ENSG00000187481
DGE,ENSG00000187416
DGE,ENSG00000165113
DGE,ENSG00000168539
DGE,ENSG00000130479
DGE,ENSG00000160813
DGE,ENSG00000214076
DGE,ENSG00000167861
DGE,ENSG00000138777
DGE,ENSG00000172794
DGE,ENSG00000137942
DGE,ENSG00000203855
DGE,ENSG00000167733
DGE,ENSG00000106683
DGE,ENSG00000151466
DGE,ENSG00000170374
DGE,ENSG00000220563
DGE,ENSG00000186577
DGE,ENSG00000179611
DGE,ENSG00000236565
DGE,ENSG00000123643
DGE,ENSG00000171944
DGE,ENSG00000076662
DGE,ENSG00000135090
DGE,ENSG00000147604
DGE,ENSG00000141854
DGE,ENSG00000182247
DGE,ENSG00000198856
DGE,ENSG00000163939
DGE,ENSG00000170222
DGE,ENSG00000142669
DGE,ENSG00000269955
DGE,ENSG00000109917
DGE,ENSG00000238118
DGE,ENSG00000243746
DGE,ENSG00000215812
DGE,ENSG00000163586
DGE,ENSG00000242683
DGE,ENSG00000167977
DGE,ENSG00000183826
DGE,ENSG00000151657
DGE,ENSG00000284631
DGE,ENSG00000257108
DGE,ENSG00000069764
DGE,ENSG00000163872
DGE,ENSG00000203661
DGE,ENSG00000049449
DGE,ENSG00000185834
DGE,ENSG00000132424
DGE,ENSG00000249055
DGE,ENSG00000258780
DGE,ENSG00000237257
DGE,ENSG00000106069
DGE,ENSG00000220804
DGE,ENSG00000078814
DGE,ENSG00000215388
DGE,ENSG00000185052
DGE,ENSG00000184307
DGE,ENSG00000147041
DGE,ENSG00000119401
DGE,ENSG00000263142
DGE,ENSG00000197859
DGE,ENSG00000134291
DGE,ENSG00000204267
DGE,ENSG00000105518
DGE,ENSG00000140623
DGE,ENSG00000198185
DGE,ENSG00000178163
DGE,ENSG00000175182
DGE,ENSG00000163491
DGE,ENSG00000182481
DGE,ENSG00000162437
DGE,ENSG00000109689
DGE,ENSG00000089847
DGE,ENSG00000126217
DGE,ENSG00000172782
DGE,ENSG00000213996
DGE,ENSG00000077264
DGE,ENSG00000117477
DGE,ENSG00000181467
DGE,ENSG00000204498
DGE,ENSG00000140284
DGE,ENSG00000219294
DGE,ENSG00000271207
DGE,ENSG00000116885
DGE,ENSG00000011566
DGE,ENSG00000051596
DGE,ENSG00000157211
DGE,ENSG00000109466
DGE,ENSG00000151490
DGE,ENSG00000213585
DGE,ENSG00000169118
DGE,ENSG00000197798
DGE,ENSG00000169282
DGE,ENSG00000107937
DGE,ENSG00000250982
DGE,ENSG00000133107
DGE,ENSG00000163630
DGE,ENSG00000116191
DGE,ENSG00000161021
DGE,ENSG00000270326
DGE,ENSG00000163468
DGE,ENSG00000213816
DGE,ENSG00000162066
DGE,ENSG00000127329
DGE,ENSG00000171759
DGE,ENSG00000156140
DGE,ENSG00000124486
DGE,ENSG00000229184
DGE,ENSG00000174684
DGE,ENSG00000147650
DGE,ENSG00000154654
DGE,ENSG00000156261
DGE,ENSG00000242372
DGE,ENSG00000277883
DGE,ENSG00000259330
DGE,ENSG00000089094
DGE,ENSG00000262583
DGE,ENSG00000284283
DGE,ENSG00000182168
DGE,ENSG00000183185
DGE,ENSG00000170956
DGE,ENSG00000254430
DGE,ENSG00000268598
DGE,ENSG00000233609
DTE,ENSG00000221968
DTE,ENSG00000144550
DTE,ENSG00000132386
DTE,ENSG00000166257
DTE,ENSG00000145362
DTE,ENSG00000144868
DTE,ENSG00000103245
DTE,ENSG00000162601
DTE,ENSG00000102225
DTE,ENSG00000178719
DTE,ENSG00000132640
DTE,ENSG00000174996
DTE,ENSG00000145715
DTE,ENSG00000186086
DTE,ENSG00000006283
DTE,ENSG00000105711
DTE,ENSG00000157214
DTE,ENSG00000006015
DTE,ENSG00000176697
DTE,ENSG00000162300
DTE,ENSG00000040608
DTE,ENSG00000179603
DTE,ENSG00000162520
DTE,ENSG00000073849
DTE,ENSG00000116991
DTE,ENSG00000165804
DTE,ENSG00000205221
DTE,ENSG00000121064
DTE,ENSG00000164294
DTE,ENSG00000105204
DTE,ENSG00000166558
DTE,ENSG00000156097
DTE,ENSG00000125656
DTE,ENSG00000176383
DTE,ENSG00000106689
DTE,ENSG00000203734
DTE,ENSG00000153395
DTE,ENSG00000108219
DTE,ENSG00000196628
DTE,ENSG00000230601
DTE,ENSG00000143093
DTE,ENSG00000159110
DTE,ENSG00000143740
DTE,ENSG00000156011
DTE,ENSG00000117632
DTE,ENSG00000277161
DTE,ENSG00000104341
DTE,ENSG00000070501
DTE,ENSG00000136243
DTE,ENSG00000147457
DTE,ENSG00000107864
DTE,ENSG00000148832
DTE,ENSG00000122970
DTE,ENSG00000163565
DTE,ENSG00000105290
DTE,ENSG00000165195
DTE,ENSG00000071859
DTE,ENSG00000265366
DTE,ENSG00000178404
DTE,ENSG00000104976
DTE,ENSG00000238227
DTE,ENSG00000173598
DTE,ENSG00000102081
DTE,ENSG00000156990
DTE,ENSG00000029153
DTE,ENSG00000166793
DTE,ENSG00000159147
DTE,ENSG00000188191
DTE,ENSG00000114867
DTE,ENSG00000163590
DTE,ENSG00000040487
DTE,ENSG00000105928
DTE,ENSG00000077684
DTE,ENSG00000078098
DTE,ENSG00000198246
DTE,ENSG00000113108
DTE,ENSG00000138172
DTE,ENSG00000073756
DTE,ENSG00000162065
DTE,ENSG00000107404
DTE,ENSG00000198483
DTE,ENSG00000131061
DTE,ENSG00000198844
DTE,ENSG00000138623
DTE,ENSG00000177943
DTE,ENSG00000106236
DTE,ENSG00000107902
DTE,ENSG00000143630
DTE,ENSG00000171189
DTE,ENSG00000160949
DTE,ENSG00000170185
DTE,ENSG00000225151
DTE,ENSG00000124302
DTE,ENSG00000143801
DTE,ENSG00000101333
DTE,ENSG00000074416
DTE,ENSG00000171509
DTE,ENSG00000055118
DTE,ENSG00000090238
DTE,ENSG00000198815
DTE,ENSG00000129009
DTE,ENSG00000166448
DTE,ENSG00000140488
DTE,ENSG00000151092
DTE,ENSG00000157103
DTE,ENSG00000178397
DTE,ENSG00000131323
DTE,ENSG00000101945
DTE,ENSG00000118689
DTE,ENSG00000136156
DTE,ENSG00000150051
DTE,ENSG00000114354
DTE,ENSG00000105976
DTE,ENSG00000157502
DTE,ENSG00000197177
DTE,ENSG00000065609
DTE,ENSG00000009830
DTE,ENSG00000122034
DTE,ENSG00000159840
DTE,ENSG00000198133
DTE,ENSG00000197826
DTE,ENSG00000257591
DTE,ENSG00000144191
DTE,ENSG00000166840
DTE,ENSG00000165175
