node_id	alias	shape	size	color	x	y	weight
0	VAMP3	ELLIPSE	20.0	#ffcccc	509.94	37.11	0.0
1	VPS53	ELLIPSE	20.0	#ffcccc	426.1	192.06	0.0
2	PICALM	ELLIPSE	20.0	#ffcccc	230.49	122.35	0.0
3	STX5	ELLIPSE	20.0	#ffcccc	393.29	22.8	0.0
4	SNAP47	ELLIPSE	20.0	#ffcccc	614.44	-72.34	0.0
5	PKP2	ELLIPSE	20.0	#ffcccc	159.97	1087.33	0.0
6	KRT18	ELLIPSE	20.0	#ffcccc	245.34	1330.12	0.0
7	CTNNB1	ELLIPSE	20.0	#ffcccc	-50.61	641.73	0.0
8	MRPS35	ELLIPSE	20.0	#ffcccc	-574.2	88.33	0.0
9	C18orf32	ELLIPSE	20.0	#ffcccc	-374.66	156.25	0.0
10	RPL17-C18orf32	ELLIPSE	20.0	#ffcccc	-356.15	151.35	0.0
11	HSPBP1	ELLIPSE	20.0	#ffcccc	-384.98	32.64	0.0
12	RPL10	ELLIPSE	20.0	#ffcccc	-434.24	113.75	0.0
13	RPL3	ELLIPSE	20.0	#ffcccc	-423.12	105.81	0.0
14	RPS15A	ELLIPSE	20.0	#ffcccc	-482.34	115.58	0.0
15	RPL13A	ELLIPSE	20.0	#ffcccc	-398.99	137.44	0.0
16	RPS23	ELLIPSE	20.0	#ffcccc	-447.4	84.53	0.0
17	RPS14	ELLIPSE	20.0	#ffcccc	-422.63	114.01	0.0
18	MRPL51	ELLIPSE	20.0	#ffcccc	-823.67	6.22	0.0
19	RPL23	ELLIPSE	20.0	#ffcccc	-464.6	131.99	0.0
20	MRPL33	ELLIPSE	20.0	#ffcccc	-536.2	31.95	0.0
21	MRPS18B	ELLIPSE	20.0	#ffcccc	-755.64	-68.33	0.0
22	TNS1	ELLIPSE	20.0	#ffcccc	198.61	163.5	0.0
23	NOLC1	ELLIPSE	20.0	#ffcccc	-113.28	37.12	0.0
24	ZYX	ELLIPSE	20.0	#ffcccc	102.54	277.44	0.0
25	VCL	ELLIPSE	20.0	#ffcccc	197.34	409.57	0.0
26	SLC22A4	ELLIPSE	20.0	#ffcccc	-372.04	1314.96	0.0
27	PDZK1	ELLIPSE	20.0	#ffcccc	-309.8	1003.47	0.0
28	PDRG1	ELLIPSE	20.0	#ffcccc	-853.72	-259.75	0.0
29	PFDN5	ELLIPSE	20.0	#ffcccc	-582.8	61.1	0.0
30	TENT4A	ELLIPSE	20.0	#ffcccc	377.05	635.17	0.0
31	RAP1B	ELLIPSE	20.0	#ffcccc	213.46	753.07	0.0
32	MYL12A	ELLIPSE	20.0	#ffcccc	311.35	551.81	0.0
33	MANF	ELLIPSE	20.0	#ffcccc	310.85	282.86	0.0
34	WDR1	ELLIPSE	20.0	#ffcccc	308.6	462.64	0.0
35	ACTG1	ELLIPSE	20.0	#ffcccc	31.69	513.71	0.0
36	HSCB	ELLIPSE	20.0	#ffcccc	-1323.18	-47.82	0.0
