intersect.x,genes.x,hgnc_symbol,gene,group,region,sex,type,intersect.y,genes.y,gwas
female:male,ENSG00000185149,NPY2R,ENSG00000185149,Nac_female,Nac,female,DGE,DGE,ENSG00000185149,not_gwas
female:male,ENSG00000185149,NPY2R,ENSG00000185149,Sub_male,Sub,male,DGE,DGE,ENSG00000185149,not_gwas
female:male,ENSG00000198563,DDX39B,ENSG00000198563,Nac_male,Nac,male,DGE,DGE,ENSG00000198563,gwas
female:male,ENSG00000198563,DDX39B,ENSG00000198563,Nac_female,Nac,female,DGE,DGE,ENSG00000198563,gwas
female:male,ENSG00000198563,DDX39B,ENSG00000198563,OFC_male,OFC,male,DGE,DGE,ENSG00000198563,gwas
female:male,ENSG00000198563,DDX39B,ENSG00000198563,OFC_female,OFC,female,DGE,DGE,ENSG00000198563,gwas
female:male,ENSG00000198563,DDX39B,ENSG00000198563,dlPFC_male,dlPFC,male,DGE,DGE,ENSG00000198563,gwas
female:male,ENSG00000198563,DDX39B,ENSG00000198563,dlPFC_female,dlPFC,female,DGE,DGE,ENSG00000198563,gwas
female:male,ENSG00000198563,DDX39B,ENSG00000198563,Cg25_female,Cg25,female,DGE,DGE,ENSG00000198563,gwas
female:male,ENSG00000198563,DDX39B,ENSG00000198563,aINS_male,aINS,male,DGE,DGE,ENSG00000198563,gwas
female:male,ENSG00000198563,DDX39B,ENSG00000198563,aINS_female,aINS,female,DGE,DGE,ENSG00000198563,gwas
female:male,ENSG00000198563,DDX39B,ENSG00000198563,Sub_male,Sub,male,DGE,DGE,ENSG00000198563,gwas
female:male,ENSG00000118972,FGF23,ENSG00000118972,OFC_male,OFC,male,DGE,DGE:DTE,ENSG00000118972,not_gwas
female:male,ENSG00000118972,FGF23,ENSG00000118972,OFC_female,OFC,female,DGE,DGE:DTE,ENSG00000118972,not_gwas
female:male,ENSG00000118972,FGF23,ENSG00000118972,Cg25_female,Cg25,female,DGE,DGE:DTE,ENSG00000118972,not_gwas
