gene,aINS_male,Cg25_male,dlPFC_male,Nac_male,OFC_male,Sub_male,GENENAME,SYMBOL,exclusive
ENSG00000176956,1,0,0,0,0,1,lymphocyte antigen 6 family member H,LY6H,2
ENSG00000178397,1,0,0,0,1,0,family with sequence similarity 220 member A,FAM220A,2
ENSG00000133105,1,0,0,0,1,0,relaxin family peptide receptor 2,RXFP2,2
ENSG00000112763,0,1,0,0,0,1,butyrophilin subfamily 2 member A1,BTN2A1,2
ENSG00000214076,0,1,0,0,0,1,CPSF1 pseudogene 1,CPSF1P1,2
ENSG00000006015,0,1,0,1,0,0,required for excision 1-B domain containing,REX1BD,2
ENSG00000100191,0,1,0,1,0,0,solute carrier family 5 member 4,SLC5A4,2
ENSG00000076248,0,1,0,0,0,1,uracil DNA glycosylase,UNG,2
ENSG00000143630,0,0,1,1,0,0,hyperpolarization activated cyclic nucleotide gated potassium channel 3,HCN3,2
ENSG00000114654,0,0,0,1,0,1,EF-hand and coiled-coil domain containing 1,EFCC1,2
ENSG00000186350,1,0,0,0,0,0,retinoid X receptor alpha,RXRA,1
ENSG00000151718,1,0,0,0,0,0,WW and C2 domain containing 2,WWC2,1
ENSG00000008382,1,0,0,0,0,0,MPN domain containing,MPND,1
ENSG00000157557,1,0,0,0,0,0,"ETS proto-oncogene 2, transcription factor",ETS2,1
ENSG00000099364,1,0,0,0,0,0,F-box and leucine rich repeat protein 19,FBXL19,1
ENSG00000241644,0,1,0,0,0,0,indolethylamine N-methyltransferase,INMT,1
ENSG00000285607,0,1,0,0,0,0,NA,NA,1
ENSG00000145779,0,1,0,0,0,0,TNF alpha induced protein 8,TNFAIP8,1
ENSG00000104998,0,1,0,0,0,0,interleukin 27 receptor subunit alpha,IL27RA,1
ENSG00000171792,0,1,0,0,0,0,RAD9-HUS1-RAD1 interacting nuclear orphan 1,RHNO1,1
ENSG00000099917,0,1,0,0,0,0,mediator complex subunit 15,MED15,1
ENSG00000237649,0,1,0,0,0,0,kinesin family member C1,KIFC1,1
ENSG00000213569,0,1,0,0,0,0,NA,NA,1
ENSG00000113460,0,1,0,0,0,0,biogenesis of ribosomes BRX1,BRIX1,1
ENSG00000008323,0,1,0,0,0,0,pleckstrin homology and RhoGEF domain containing G6,PLEKHG6,1
ENSG00000197380,0,1,0,0,0,0,dishevelled binding antagonist of beta catenin 3,DACT3,1
ENSG00000128298,0,1,0,0,0,0,BAR/IMD domain containing adaptor protein 2 like 2,BAIAP2L2,1
ENSG00000128000,0,1,0,0,0,0,zinc finger protein 780B,ZNF780B,1
ENSG00000141499,0,1,0,0,0,0,WD repeat containing antisense to TP53,WRAP53,1
ENSG00000184524,0,1,0,0,0,0,cell cycle exit and neuronal differentiation 1,CEND1,1
ENSG00000146416,0,1,0,0,0,0,androgen induced 1,AIG1,1
ENSG00000105143,0,1,0,0,0,0,solute carrier family 1 member 6,SLC1A6,1
ENSG00000149925,0,1,0,0,0,0,"aldolase, fructose-bisphosphate A",ALDOA,1
ENSG00000184897,0,1,0,0,0,0,H1.10 linker histone,H1-10,1
ENSG00000131469,0,1,0,0,0,0,ribosomal protein L27,RPL27,1
ENSG00000117013,0,1,0,0,0,0,potassium voltage-gated channel subfamily Q member 4,KCNQ4,1
ENSG00000123329,0,1,0,0,0,0,Rho GTPase activating protein 9,ARHGAP9,1
ENSG00000197121,0,1,0,0,0,0,post-GPI attachment to proteins inositol deacylase 1,PGAP1,1
ENSG00000214274,0,1,0,0,0,0,angiogenin,ANG,1
ENSG00000230097,0,1,0,0,0,0,NA,NA,1
ENSG00000117425,0,1,0,0,0,0,patched 2,PTCH2,1
ENSG00000114544,0,1,0,0,0,0,solute carrier family 41 member 3,SLC41A3,1
ENSG00000237440,0,1,0,0,0,0,zinc finger protein 737,ZNF737,1
ENSG00000197566,0,1,0,0,0,0,zinc finger protein 624,ZNF624,1
ENSG00000083457,0,1,0,0,0,0,integrin subunit alpha E,ITGAE,1
ENSG00000147604,0,1,0,0,0,0,ribosomal protein L7,RPL7,1
ENSG00000114391,0,1,0,0,0,0,ribosomal protein L24,RPL24,1
ENSG00000172361,0,1,0,0,0,0,cilia and flagella associated protein 53,CFAP53,1
ENSG00000114204,0,1,0,0,0,0,serpin family I member 2,SERPINI2,1
ENSG00000102804,0,1,0,0,0,0,TSC22 domain family member 1,TSC22D1,1
ENSG00000174197,0,1,0,0,0,0,MAX dimerization protein MGA,MGA,1
ENSG00000197050,0,1,0,0,0,0,zinc finger protein 420,ZNF420,1
ENSG00000130224,0,1,0,0,0,0,leucine rich repeats and calponin homology domain containing 2,LRCH2,1
ENSG00000167674,0,1,0,0,0,0,HDGF like 2,HDGFL2,1
ENSG00000219507,0,1,0,0,0,0,NA,NA,1
ENSG00000177954,0,1,0,0,0,0,ribosomal protein S27,RPS27,1
ENSG00000180155,0,1,0,0,0,0,Ly6/neurotoxin 1,LYNX1,1
ENSG00000147654,0,1,0,0,0,0,estrogen receptor binding site associated antigen 9,EBAG9,1
ENSG00000198618,0,1,0,0,0,0,NA,NA,1
ENSG00000070423,0,1,0,0,0,0,ring finger protein 126,RNF126,1
ENSG00000163141,0,1,0,0,0,0,BCL2 interacting protein like,BNIPL,1
ENSG00000133265,0,1,0,0,0,0,HSPA (Hsp70) binding protein 1,HSPBP1,1
ENSG00000168453,0,1,0,0,0,0,HR lysine demethylase and nuclear receptor corepressor,HR,1
ENSG00000205593,0,1,0,0,0,0,DENN domain containing 6B,DENND6B,1
ENSG00000179855,0,1,0,0,0,0,GIPC PDZ domain containing family member 3,GIPC3,1
ENSG00000176222,0,1,0,0,0,0,zinc finger protein 404,ZNF404,1
ENSG00000132128,0,1,0,0,0,0,leucine rich repeat containing 41,LRRC41,1
ENSG00000270800,0,1,0,0,0,0,RPS10-NUDT3 readthrough,RPS10-NUDT3,1
ENSG00000157873,0,1,0,0,0,0,TNF receptor superfamily member 14,TNFRSF14,1
ENSG00000154473,0,1,0,0,0,0,BUB3 mitotic checkpoint protein,BUB3,1
ENSG00000172889,0,1,0,0,0,0,EGF like domain multiple 7,EGFL7,1
ENSG00000138777,0,1,0,0,0,0,inorganic pyrophosphatase 2,PPA2,1
ENSG00000198821,0,1,0,0,0,0,CD247 molecule,CD247,1
ENSG00000115548,0,1,0,0,0,0,lysine demethylase 3A,KDM3A,1
ENSG00000181804,0,1,0,0,0,0,solute carrier family 9 member A9,SLC9A9,1
ENSG00000184863,0,1,0,0,0,0,RNA binding motif protein 33,RBM33,1
ENSG00000122691,0,1,0,0,0,0,twist family bHLH transcription factor 1,TWIST1,1
ENSG00000275048,0,1,0,0,0,0,BSND pseudogene 1,BSNDP1,1
ENSG00000256310,0,1,0,0,0,0,NA,NA,1
ENSG00000197748,0,1,0,0,0,0,cilia and flagella associated protein 43,CFAP43,1
ENSG00000042753,0,1,0,0,0,0,adaptor related protein complex 2 subunit sigma 1,AP2S1,1
ENSG00000138688,0,1,0,0,0,0,KIAA1109,KIAA1109,1
ENSG00000118514,0,1,0,0,0,0,aldehyde dehydrogenase 8 family member A1,ALDH8A1,1
