ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,group
GO:0002181,cytoplasmic translation,9/173,148/18723,9.729058041215098e-6,0.02356377857582297,2.28e-02,RPL27/RPL7/RPL24/RPS27/RPL22/EIF3CL/RPL38/EIF3L/RPS3,9,Cg25_male
GO:0002181,cytoplasmic translation,20/356,148/18723,6.686838989923526e-12,2.07492613857327e-8,1.98e-08,RPL36A/RPL27/RPS19/RPL39/RPS10/UNK/RPS15A/RPL18/EIF3A/RPL23/RPL10/RPS7/RPS14/RPS23/RPL3/RPS27A/EIF3G/RPL7A/RPL13A/RPL26,20,OFC_female
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",21/356,320/18723,9.339644344838082e-7,8.266077207553366e-4,7.88e-04,HNRNPA2B1/HNRNPA1/HNRNPH3/CASC3/SFPQ/NCL/SART1/DDX46/SF1/RNPS1/HNRNPA3/RBM17/DDX39B/HNRNPM/SRSF5/C1QBP/PNN/ZCRB1/SRPK3/YJU2/RBM10,21,OFC_female
GO:0000398,"mRNA splicing, via spliceosome",21/356,320/18723,9.339644344838082e-7,8.266077207553366e-4,7.88e-04,HNRNPA2B1/HNRNPA1/HNRNPH3/CASC3/SFPQ/NCL/SART1/DDX46/SF1/RNPS1/HNRNPA3/RBM17/DDX39B/HNRNPM/SRSF5/C1QBP/PNN/ZCRB1/SRPK3/YJU2/RBM10,21,OFC_female
GO:0000375,"RNA splicing, via transesterification reactions",21/356,324/18723,1.1410381691315182e-6,8.266077207553366e-4,7.88e-04,HNRNPA2B1/HNRNPA1/HNRNPH3/CASC3/SFPQ/NCL/SART1/DDX46/SF1/RNPS1/HNRNPA3/RBM17/DDX39B/HNRNPM/SRSF5/C1QBP/PNN/ZCRB1/SRPK3/YJU2/RBM10,21,OFC_female
GO:0022900,electron transport chain,15/356,175/18723,1.3319492761123696e-6,8.266077207553366e-4,7.88e-04,COX3/UQCRQ/UQCR11/SDHD/NDUFB2/COX7C/GBA/COX7B2/CHCHD2/GSR/PARK7/SDHB/NDUFB10/ADH5/COX6C,15,OFC_female
GO:0022904,respiratory electron transport chain,12/356,114/18723,1.8004314065485603e-6,9.31123109086697e-4,8.87e-04,COX3/UQCRQ/UQCR11/SDHD/NDUFB2/COX7C/GBA/CHCHD2/PARK7/SDHB/NDUFB10/COX6C,12,OFC_female
GO:0009060,aerobic respiration,15/356,189/18723,3.4832897535986416e-6,0.0015440925864880835,1.47e-03,COX3/UQCRQ/UQCR11/SDHD/ANTKMT/NDUFB2/COX7C/NNT/COX7B2/CHCHD2/PARK7/PDHB/SDHB/NDUFB10/COX6C,15,OFC_female
GO:0045333,cellular respiration,16/356,230/18723,9.002683148259004e-6,0.003491915726130961,3.33e-03,COX3/UQCRQ/UQCR11/SDHD/ANTKMT/NDUFB2/COX7C/NNT/GBA/COX7B2/CHCHD2/PARK7/PDHB/SDHB/NDUFB10/COX6C,16,OFC_female
GO:0008380,RNA splicing,23/356,434/18723,1.0475791849120676e-5,0.003611820234202384,3.44e-03,HNRNPA2B1/HNRNPA1/HNRNPH3/CASC3/SFPQ/NCL/SART1/DDX46/SF1/RNPS1/HNRNPA3/RBM17/CTNNBL1/DDX39B/HNRNPM/FUS/SRSF5/C1QBP/PNN/ZCRB1/SRPK3/YJU2/RBM10,23,OFC_female
