mRNA_size	ORF_size	Fickett_score	Hexamer_score	coding_prob
ENST00000557161.1	879	168	0.4809	0.0432659517993	0.0166781285323386
ENST00000259631.4	446	339	1.1581	0.240763902657	0.801057255077871
ENST00000550797.1	1261	546	1.12	0.285042172796	0.978149981649351
ENST00000550675.1	380	327	1.2597	0.296782942718	0.875713745508325
ENST00000639602.1	4455	1449	1.1098	0.313973464385	0.999999052397134
ENST00000638983.1	4184	1002	1.1885	0.231637811079	0.999825758139624
ENST00000375940.8	3080	2640	0.9765	0.0413918037089	0.999999999988116
ENST00000342386.10	2968	2523	0.9534	0.0469682393429	0.99999999995422
ENST00000318222.4	2790	2418	1.206	0.397362280581	0.999999999992672
ENST00000465680.2	423	105	0.7478	-0.0992313814238	0.00900141606640237
ENST00000528248.1	2277	2277	1.2326	0.389461258809	0.999999999966972
ENST00000258711.7	15979	1245	1.2993	0.725985437836	0.999999254030499
ENST00000618655.2	15985	1245	1.2993	0.725985437836	0.999999253785044
ENST00000402613.3	1076	723	1.1399	0.314941377978	0.997628560023033
ENST00000498834.5	803	255	0.9571	0.260331683577	0.464914185386955
ENST00000532566.3	4594	2475	1.1089	0.406870223498	0.999999999994359
ENST00000522353.3	5404	2853	1.1489	0.419812823397	1
ENST00000546919.5	775	693	1.07	0.311342780275	0.995764287362219
ENST00000549937.5	761	726	0.8093	0.23664367679	0.988770884667167
ENST00000360221.8	1790	1578	1.2083	0.365986240836	0.999999899575247
ENST00000409399.5	2042	1761	1.1544	0.327751570212	0.999999980041063
ENST00000421990.6	2150	1761	1.1544	0.327751570212	0.99999997992252
ENST00000452752.5	566	306	1.1893	0.403434094913	0.892046433759539
ENST00000454303.1	594	396	1.1241	0.438156160582	0.957021782087501
ENST00000474267.5	6042	1143	1.0862	0.493275448819	0.999988412144431
ENST00000264634.8	6176	1143	1.0862	0.493275448819	0.999988326691373
ENST00000366595.7	5412	3345	1.0488	0.379381886115	1
ENST00000264187.7	5792	3744	0.9481	0.367069283557	1
ENST00000371447.3	3307	2577	1.0293	0.253604081819	0.9999999999944
ENST00000475427.2	476	201	0.9902	0.0153591884477	0.109170139286436
ENST00000521035.5	549	87	0.5027	-0.0347218722089	0.00466468033807223
ENST00000519688.5	5242	963	1.1737	0.202761694286	0.999641888974726
ENST00000470245.1	963	219	1.2284	0.591371911706	0.916211532943871
ENST00000373078.5	3398	984	1.2598	0.608805703467	0.999983810811123
