mRNA_size	ORF_size	Fickett_score	Hexamer_score	coding_prob
ENST00000373887.8	4351	1251	1.2631	0.464034904865	0.999997952542469
ENST00000546084.5	3715	885	1.2895	0.585017211152	0.999947999294136
ENST00000540010.1	4303	1251	1.2631	0.464034904865	0.999997957924079
ENST00000354537.1	2484	1995	1.1376	0.382626993814	0.999999998866991
ENST00000366666.6	2173	1884	1.1607	0.396968891119	0.99999999673581
ENST00000453304.6	9642	2796	0.9497	0.272125268805	0.999999999999196
ENST00000610318.4	9403	1695	1.2189	0.319351237206	0.999999947315623
ENST00000635539.1	538	237	0.5813	-0.185141938078	0.0130461802744579
ENST00000456971.3	789	411	0.9904	0.0740535955887	0.643341387753886
ENST00000315215.11	6270	3366	1.1141	0.470406452963	1
ENST00000412232.2	5651	4017	1.1141	0.459382671292	1
ENST00000392499.6	1132	537	0.8077	0.30012989065	0.938361554065895
ENST00000460288.1	1536	453	0.8638	-0.0590598119818	0.443898521000558
ENST00000327490.8	1446	495	1.2996	0.467471998929	0.992944624273559
ENST00000587913.1	286	192	1.095	0.388192026886	0.606875577405863
ENST00000589900.5	2057	861	1.1838	0.366745346243	0.999663879356224
ENST00000587992.1	2491	687	1.0633	0.351810376016	0.996014956788248
ENST00000580907.5	736	198	0.8629	0.125515252009	0.128148121030631
ENST00000225831.4	741	300	1.1238	0.259614701365	0.718406143054267
ENST00000582017.1	996	117	0.7257	-0.0939353651104	0.00954128042343157
ENST00000652555.1	4861	1797	1.1391	0.385401072494	0.999999988430253
ENST00000455858.2	4648	1599	1.134	0.372186276116	0.999999884453442
ENST00000299732.6	1369	1044	1.2294	0.394000169608	0.999969731692628
ENST00000416617.3	1670	1350	1.2294	0.448435044464	0.999999279033343
ENST00000393586.1	1893	1599	1.1991	0.434516005758	0.999999945621508
ENST00000393587.4	1862	1434	1.2602	0.458536519859	0.999999759222536
ENST00000453912.1	1167	654	1.1694	0.389951476208	0.997046505099841
ENST00000651600.1	2095	1434	1.2602	0.458536519859	0.999999756126706
ENST00000369280.1	4062	3315	0.8348	0.0268897020462	1
ENST00000251864.6	4510	3570	0.8192	0.016618364657	1
ENST00000629009.2	1694	261	0.474	-0.314587104083	0.00508483179945808
ENST00000626657.2	1526	357	1.0674	0.245537221764	0.777539655831079
ENST00000624589.3	1456	1188	0.8697	0.350210544431	0.999972628469952
ENST00000623162.1	842	456	0.8463	0.112759679879	0.696055474207707
ENST00000625202.1	484	249	0.6999	-0.215652531873	0.0186108271372748
ENST00000593866.5	2197	948	1.2018	0.38191821035	0.999890282281908
ENST00000216177.8	2539	1290	1.2198	0.419466601054	0.999998176723514
ENST00000597664.5	2537	1290	1.2198	0.419466601054	0.999998176923448
ENST00000545944.5	704	366	1.1784	0.615560894904	0.982453336111279
ENST00000535503.5	734	366	1.1784	0.615560894904	0.982424956868151
ENST00000615670.4	4903	4221	0.8628	0.400547460121	1
ENST00000622241.1	4639	4221	0.8628	0.400547460121	1
ENST00000409978.6	4523	2613	1.0649	0.332148701262	0.999999999997803
ENST00000398800.8	4300	2613	1.0649	0.332148701262	0.999999999997829
ENST00000446087.1	569	474	1.0121	0.248730165236	0.919943595044731
ENST00000620313.1	709	345	0.4482	-0.0943757238186	0.0458588340955355
ENST00000529386.5	924	255	0.5776	-0.0947666209587	0.0263330571780585
ENST00000533953.5	934	717	1.1179	0.246937606536	0.995905629150509
ENST00000437222.1	746	348	0.646	0.0402271398801	0.18167329898786
ENST00000431687.5	779	285	0.8329	0.150487674981	0.289394607004075
ENST00000302342.3	5633	3147	0.9299	0.156620091091	1
ENST00000587837.5	570	201	1.188	0.468096042373	0.789976251368897
ENST00000424586.7	541	306	1.0866	0.357489774729	0.814627048614862
ENST00000544690.6	522	309	1.157	0.350953963904	0.847869177180845
ENST00000262629.8	568	342	1.1045	0.348178540961	0.868395124759817
ENST00000547357.5	1665	1602	0.8463	0.06124450006	0.999998312205369
ENST00000550058.1	568	534	1.0791	0.0486332702792	0.893749104543806
ENST00000551722.1	765	477	0.7933	0.0437522373934	0.614506245546604
ENST00000593512.5	618	174	1.2217	0.501428896736	0.792246767469634
