mRNA_size	ORF_size	Fickett_score	Hexamer_score	coding_prob
ENST00000373669.7	1321	471	0.8748	0.110422204368	0.741580041390273
ENST00000439980.7	577	255	0.9725	0.147173153019	0.318261409013557
ENST00000453707.6	998	660	0.8969	0.283942807154	0.986817020290679
ENST00000651998.1	814	582	0.9943	0.305739750815	0.980564394283578
ENST00000445983.5	820	582	0.9943	0.305739750815	0.980558123490349
ENST00000348261.11	8219	7062	1.2544	0.570110678942	1
ENST00000565831.6	7815	7044	1.2544	0.57175842885	1
ENST00000564954.1	607	414	1.1987	0.424682746514	0.970090089156458
ENST00000564231.5	3343	3147	1.3108	0.5649420848	1
ENST00000283875.6	3000	1320	1.0823	0.306540846331	0.999995738906053
ENST00000497393.1	567	483	0.9273	0.212648091361	0.884024411515375
ENST00000552067.5	621	438	1.1536	0.31304591493	0.948535576706469
ENST00000546939.5	779	471	1.125	0.309817328183	0.959159459089855
ENST00000301061.9	2246	1170	0.8545	0.375721515817	0.999968443298058
ENST00000407467.5	1802	576	1.1222	0.389678747069	0.991422339154503
ENST00000403957.5	1817	522	1.0895	0.363448410681	0.979630155388619
ENST00000221130.11	3034	1569	1.2202	0.310103204859	0.999999839803454
ENST00000541648.5	1410	1410	1.1292	0.320564041793	0.999998885199931
ENST00000494297.5	555	153	0.81	0.227625926389	0.121994219974141
ENST00000466636.1	917	318	0.8126	0.281551446273	0.547025276249169
ENST00000229003.7	2332	1110	1.0636	0.420311099098	0.999976979298204
ENST00000422538.8	2378	1233	1.0443	0.391593549933	0.999992584096447
ENST00000545824.2	1513	1044	1.0113	0.411092564295	0.99994167241357
ENST00000551186.1	652	108	1.1703	-0.0293911292215	0.0573195798968809
ENST00000273153.10	3164	1770	0.7258	0.365193331611	0.999999932995668
ENST00000514182.1	2593	1770	0.7258	0.365193331611	0.999999935060984
ENST00000570631.5	1509	1062	1.1569	0.501059053229	0.999983278966793
ENST00000575198.1	185	162	0.7472	-0.0133712075358	0.0284257863564021
ENST00000366669.9	2932	2217	0.9261	0.16335402992	0.9999999992401
ENST00000366668.7	2843	2214	0.9261	0.16300412075	0.999999999216326
ENST00000529198.1	614	240	0.7301	-0.00136149727559	0.064854105739346
ENST00000647558.1	240	240	0.7301	-0.00136149727559	0.0661089628574714
ENST00000259392.8	1723	432	1.2771	0.2743089062	0.951530460995013
ENST00000490809.1	771	141	1.0743	-0.0518655729602	0.0519206567779508
ENST00000374220.3	1750	357	1.3017	0.298309159657	0.914276817485357
ENST00000366658.6	1170	696	0.9349	0.162000592386	0.98369592675879
ENST00000459891.1	1009	315	0.9413	0.118611822701	0.402499537054371
ENST00000359051.7	1635	1164	0.8413	0.261145957576	0.999931546628035
ENST00000336307.6	1878	1254	0.928	0.268738212357	0.999982048342831
ENST00000621157.5	1696	1254	0.928	0.268738212357	0.999982226593599
ENST00000513170.1	636	417	0.7403	0.25547662007	0.711811920359832
ENST00000412723.6	2688	1740	1.2086	0.290012787095	0.999999972718334
ENST00000238138.2	868	261	0.8456	0.0945941173752	0.187381953793646
ENST00000646748.1	2744	564	0.9946	0.293003286053	0.971737841769181
ENST00000565150.2	1940	564	0.9946	0.293003286053	0.972923694868236
ENST00000373840.9	4149	648	1.0076	0.0432125646609	0.949276704348184
ENST00000451303.1	711	543	1.0392	0.0444661795628	0.886918289671682
ENST00000393459.5	3098	978	1.2668	0.399873366554	0.999940930945387
ENST00000470252.1	2541	258	0.5402	-0.109326388931	0.0201811287517551
ENST00000224807.9	3089	978	1.2668	0.399873366554	0.999940960085961
ENST00000308744.10	1922	1569	0.9865	0.130639868787	0.999998997687792
ENST00000395999.5	1866	1272	1.1902	0.13900301603	0.999986946323919
ENST00000506359.1	1171	771	1.057	0.210246329565	0.996503886219588
ENST00000304733.7	2081	696	0.6571	-0.0265126496009	0.875269507328568
ENST00000002501.10	2079	696	0.6571	-0.0265126496009	0.875281479003811
ENST00000359744.8	1121	726	0.8888	-0.0883451352375	0.94048355987111
ENST00000616481.4	1252	726	0.8888	-0.0883451352375	0.940080228308714
ENST00000373863.3	1729	1611	0.9108	0.175287524742	0.999999386235709
ENST00000471498.5	1806	1089	0.9976	0.129052906931	0.999792057815034
ENST00000256015.5	4629	516	0.9127	0.313905122579	0.939443174235845
ENST00000552315.1	504	252	0.8721	0.284244087685	0.424177968633094
ENST00000649095.1	2186	1482	0.866	0.142304221119	0.999996201054364
ENST00000445696.6	1505	1050	0.8582	0.141683844749	0.999526239375443
ENST00000648612.1	171	171	0.6826	0.0880772216643	0.0457718696736761
ENST00000649278.1	718	471	1.3264	0.603674405715	0.996449792091382
ENST00000397227.7	818	318	1.2953	0.606309184313	0.978725775870874
ENST00000382809.2	378	378	1.3584	0.611691260644	0.991626929564896
ENST00000301071.12	1672	1356	1.2226	0.438100834545	0.99999926510529
ENST00000550767.5	1384	1251	1.2028	0.433157063207	0.99999741647836
ENST00000612035.4	2161	2031	1.1025	0.300709349041	0.999999998619426
ENST00000610402.5	5700	2856	1.1025	0.279332972334	0.999999999999813
ENST00000533044.5	564	375	1.3719	0.735428330933	0.996041689070528
ENST00000527194.5	806	396	1.3503	0.70641301249	0.995926272670285
ENST00000357631.6	2906	387	1.3126	0.597110642141	0.988904340284222
ENST00000446961.3	3074	555	1.3522	0.630701014152	0.998771495547457
ENST00000554913.5	2539	1041	1.2391	0.467565709447	0.999979344671614
ENST00000352127.11	2563	1041	1.2391	0.467565709447	0.999979317472891
ENST00000554774.1	510	432	1.2402	0.520549146771	0.987999094400329
ENST00000555451.1	409	282	1.11	0.388143665166	0.815442650446004
ENST00000338825.5	827	399	0.8408	0.0306906983557	0.419390606766928
ENST00000520657.1	695	399	0.8408	0.0306906983557	0.421154030220418
ENST00000340004.6	1722	804	0.944	0.343250240312	0.998356301232201
ENST00000474924.5	560	513	0.7604	0.32517100035	0.922342657232269
ENST00000475191.5	535	453	0.8621	0.366914979754	0.917481028670073
ENST00000471774.5	443	195	1.1698	-0.174528064005	0.0631068494854208
ENST00000461169.1	734	408	1.1088	0.422749503427	0.956206001694078
ENST00000484501.1	427	144	0.6459	0.0600147837225	0.0253291817285686
ENST00000491483.5	956	633	1.1075	0.34884182785	0.994150829179054
ENST00000475972.1	1787	510	1.288	0.337342279861	0.986161350447521
ENST00000225388.9	10877	2088	1.0203	0.129905641967	0.999999995595861
ENST00000579665.1	559	363	1.2496	0.252069782853	0.884856897076104
ENST00000620761.6	1511	1377	0.8972	0.271586381902	0.999995143293675
ENST00000602656.1	714	222	0.9862	0.063790442499	0.168366867161721
ENST00000469243.5	2107	1620	1.2532	0.458175576627	0.999999968728917
ENST00000490472.1	708	456	1.1269	0.292215304225	0.947459185492546
ENST00000322428.10	1715	771	1.084	0.494990372955	0.999415256189432
ENST00000532522.5	1098	771	1.084	0.494990372955	0.999434696715466
ENST00000544475.5	2999	2919	1.0616	0.396463185798	1
ENST00000541804.1	1514	1446	1.1298	0.457433802281	0.999999674051149
ENST00000537239.2	717	429	0.9152	0.327906868897	0.88859303869937
ENST00000455537.7	5779	3099	1.3132	0.572358351788	1
ENST00000286452.5	3527	2832	1.2877	0.59095824995	1
ENST00000367922.7	10160	2568	1.0546	0.310700760869	0.999999999994156
ENST00000367921.8	10086	2568	1.0546	0.310700760869	0.999999999994179
ENST00000423968.7	4098	627	1.3114	0.462552061495	0.998146982596519
ENST00000494949.5	431	321	1.3188	0.467521710384	0.957805152084927
ENST00000621127.4	3801	399	1.2986	0.4211974959	0.969512408101093
ENST00000375940.8	3080	2640	0.9765	0.0413918037089	0.999999999988116
ENST00000342386.10	2968	2523	0.9534	0.0469682393429	0.99999999995422
ENST00000484062.1	743	270	0.7632	-0.425259531426	0.00817691322254749
ENST00000421852.6	2805	795	1.1929	0.190895570758	0.997939119386344
ENST00000300209.13	2687	681	1.2558	0.39281165202	0.998266239894375
ENST00000333012.5	2762	450	0.8658	0.275372869581	0.846859982642118
ENST00000324871.12	1378	831	1.1731	0.395153748786	0.999604437262024
ENST00000548504.1	371	312	1.1204	0.352061989681	0.837587439221061
ENST00000551117.1	503	399	1.3184	0.400233826634	0.972915817592578
ENST00000553125.5	717	429	1.1473	0.383711106878	0.961401292608915
ENST00000296277.9	729	156	0.9085	0.0429223107138	0.0611719834460795
ENST00000433055.1	749	177	0.8028	-0.104072596222	0.0228996666528495
ENST00000358701.9	4530	2097	1.0744	0.36723034933	0.999999999447225
ENST00000455222.1	851	798	1.1146	0.351426665712	0.999113636144768
ENST00000547379.6	11936	1437	0.7609	0.00960547285037	0.999965522750274
ENST00000261187.8	11777	1437	0.7609	0.00960547285037	0.999965822012231
ENST00000619750.1	2695	2490	1.209	0.388034686874	0.999999999996588
ENST00000612467.1	2712	2079	1.2502	0.451315604409	0.999999999799586
ENST00000327490.8	1446	495	1.2996	0.467471998929	0.992944624273559
ENST00000587913.1	286	192	1.095	0.388192026886	0.606875577405863
ENST00000220809.8	2706	1689	0.9585	0.344547130264	0.999999917813745
ENST00000519510.5	2030	1500	0.876	0.327862516188	0.999999035068909
ENST00000612073.1	2785	2427	1.2318	0.349435001423	0.999999999991893
ENST00000398594.3	4765	2790	1.2128	0.384637780255	0.999999999999866
ENST00000367770.5	2916	2229	0.882	0.101925776063	0.999999998878032
ENST00000367772.8	3090	2229	0.882	0.101925776063	0.999999998867277
ENST00000252087.2	4761	2835	1.0642	0.376074853272	0.999999999999857
ENST00000610789.1	2763	2637	1.1056	0.334421189419	0.999999999998692
ENST00000368817.10	1161	744	1.0794	0.265183343975	0.996864005140595
ENST00000453881.2	355	216	1.0849	0.0315582430025	0.182418547776644
ENST00000264485.11	7716	3240	1.0748	0.198814301845	1
ENST00000351898.10	3771	2988	1.0881	0.207870658261	1
ENST00000397732.8	4897	1926	0.914	0.0626476594446	0.999999957832322
ENST00000455490.1	400	216	0.7584	0.0473728948815	0.0736418554568371
ENST00000320591.9	2323	849	0.6683	0.255317591878	0.995484326582672
ENST00000534837.5	2695	831	0.7013	0.249028650151	0.994777228916019
ENST00000536467.1	290	228	1.0006	0.0597702545849	0.185181784343901
ENST00000579390.1	869	750	1.2676	0.580686828908	0.999777002066924
ENST00000463525.1	722	642	1.2197	0.506607555335	0.998632289245655
ENST00000378959.9	872	492	0.7519	0.293940383818	0.881189432815037
ENST00000297613.4	1092	492	0.7519	0.293940383818	0.879920695525631
ENST00000380569.6	1846	1653	1.2068	0.323256455436	0.999999943295133
ENST00000484300.1	955	414	1.0143	0.220254677314	0.82976091418221
ENST00000487232.1	799	741	1.0712	0.349479134467	0.99803680458646
ENST00000452490.3	2271	837	0.9865	0.33739825504	0.998951399762829
ENST00000328379.5	1105	423	1.1995	0.354464745287	0.9580828394376
ENST00000467797.1	424	135	0.846	-0.290609467855	0.00554899195892962
ENST00000238044.8	753	447	1.0158	0.43146524733	0.962711268512791
ENST00000479337.1	617	330	1.0036	0.461118293896	0.889675662003527
ENST00000306125.12	2449	2328	1.2404	0.430414134742	0.999999999985692
ENST00000482468.6	402	387	0.8096	0.430856720888	0.868131747558411
ENST00000368656.7	2551	243	0.883	-0.0171323026235	0.0903115807481916
ENST00000604268.1	598	243	0.883	-0.0171323026235	0.0995037239532051
ENST00000589900.5	2057	861	1.1838	0.366745346243	0.999663879356224
ENST00000587992.1	2491	687	1.0633	0.351810376016	0.996014956788248
ENST00000592945.1	658	567	1.1392	0.323888230857	0.987523863113025
ENST00000369310.7	2046	1398	0.7531	0.0973480798893	0.999981294820089
ENST00000354462.7	3403	597	0.9375	0.151516436908	0.94349232641125
ENST00000591969.1	742	531	1.2298	0.546394320509	0.996411970454505
ENST00000611074.4	3586	2271	1.1615	0.472128372212	0.999999999970638
ENST00000411866.5	986	180	1.0666	-0.00937610797067	0.0954451848047992
ENST00000440576.2	718	180	1.0666	-0.00937610797067	0.0967214288571965
ENST00000369682.4	10885	5616	1.2533	0.585273073363	1
ENST00000467463.1	384	189	1.0883	-0.15484142845	0.0510228010964494
ENST00000445782.2	980	462	1.133	0.439676506723	0.979372145125817
ENST00000309451.7	599	477	1.1772	0.533976983289	0.991620759950577
ENST00000374467.4	2170	636	1.2171	0.45318624753	0.997792286614761
ENST00000442998.6	2212	462	0.955	0.394242274088	0.948014924648515
ENST00000360661.9	2132	576	1.1347	0.453882854809	0.994317034484821
ENST00000315073.10	3645	1893	1.1996	0.532904800189	0.999999998773651
ENST00000503114.1	1904	891	1.2256	0.582718803659	0.999944351851069
ENST00000560261.1	595	75	0.6976	-0.259088966028	0.0020466453755498
ENST00000258874.3	907	612	1.1182	0.396963659262	0.994686796165917
ENST00000559722.2	948	699	0.8631	0.254966119984	0.988595435922242
ENST00000615374.5	679	540	1.0686	0.317066496036	0.977760485047278
ENST00000479961.1	859	540	1.0686	0.317066496036	0.977544855731958
ENST00000393409.2	9066	5691	1.3029	0.661088975173	1
ENST00000503363.1	410	204	0.9527	0.0119146818292	0.0986571814783854
ENST00000407838.7	3112	711	1.0803	0.285742899599	0.995563122520898
ENST00000498834.5	803	255	0.9571	0.260331683577	0.464914185386955
ENST00000339824.6	17726	2853	1.3126	0.435377536447	1
ENST00000543793.1	477	102	0.6747	-0.181501491373	0.00411463773599595
ENST00000359139.7	4035	2784	1.2362	0.45561557447	1
ENST00000395744.7	3293	2799	1.2518	0.452754049635	1
ENST00000592285.1	336	219	1.1203	0.488977998856	0.807265273577908
ENST00000589571.1	543	321	1.3108	0.667901756815	0.986673559725766
ENST00000416695.6	3451	951	1.2526	0.370344582482	0.999897667329279
ENST00000342462.5	4310	1362	1.296	0.340176908842	0.999998882943893
ENST00000302228.9	3018	972	1.0818	0.384461693786	0.999869336591234
ENST00000448970.6	449	360	0.9382	0.254515168134	0.72173996697657
ENST00000378133.4	2726	2424	1.1338	0.409035233307	0.999999999991841
ENST00000394633.7	2204	2061	1.0946	0.357840590892	0.999999999281244
ENST00000266673.9	5656	1011	0.9314	-0.0338983253598	0.99792818612373
ENST00000550787.1	567	177	0.9299	-0.0609062318414	0.045502965596628
ENST00000463753.5	2964	201	0.8131	-0.0906504479366	0.0296137458138713
ENST00000483969.5	832	186	0.8444	0.0622322849173	0.075526452008316
ENST00000374459.5	3264	1470	1.2952	0.535457646361	0.999999903402216
ENST00000395810.5	3235	1446	1.2952	0.536324878832	0.999999874511938
ENST00000616325.1	3418	2433	1.1998	0.426801000946	0.99999999999452
ENST00000398640.6	6115	2850	1.0314	0.417266611402	0.999999999999887
ENST00000529310.6	5395	2880	1.1947	0.427593011775	1
ENST00000527624.1	2231	2088	1.1795	0.389042100859	0.999999999671371
ENST00000358435.8	778	168	0.8998	0.119968349703	0.103230944470226
ENST00000405021.7	455	156	0.6542	-0.286142950658	0.00372337937076205
ENST00000389617.8	3260	1332	1.0872	0.210006724672	0.999993324591433
ENST00000491839.1	494	492	0.7209	0.148466886812	0.737851784341761
ENST00000543155.6	1831	828	1.1947	0.473835040244	0.999758481309575
ENST00000534877.5	1707	828	1.1947	0.473835040244	0.999760117451756
ENST00000434038.6	690	150	0.8552	-0.181076011287	0.0128821189587565
ENST00000285605.8	3213	522	1.303	0.608418641734	0.997574024632665
ENST00000256545.9	1069	729	0.8139	0.138861456606	0.980489813691338
ENST00000527822.5	581	312	0.7658	0.0145066416091	0.162210229211404
ENST00000616463.1	3388	378	0.7384	0.0511241650064	0.282998408886105
ENST00000401557.7	705	705	0.5841	0.0218829252122	0.897205123103233
ENST00000531287.5	1706	1647	1.1869	0.222590409434	0.999999881278726
ENST00000531452.5	2695	2112	1.1347	0.212632869812	0.999999999122747
ENST00000300650.9	3477	2112	1.1347	0.212632869812	0.999999999084314
ENST00000529639.6	506	402	1.186	0.511242539962	0.978792668255526
ENST00000525297.5	355	297	1.21	0.515996059121	0.941426258509362
ENST00000493963.5	1121	660	0.9418	-0.0142580540354	0.934258735187337
ENST00000474927.1	311	144	0.8851	-0.00717229931424	0.0381648182922486
ENST00000377687.6	3349	1374	1.0236	0.232684866664	0.999995450364888
ENST00000476859.1	767	669	1.0241	0.146868565369	0.982631740738465
ENST00000464404.2	130	9	0.8105	-1.09038283688	9.56166714481415e-06
ENST00000539231.5	2951	1101	0.8719	0.17092645896	0.999768408879551
ENST00000478022.3	615	186	0.8075	-0.190466801454	0.0154665014196064
ENST00000645174.1	659	366	0.6843	0.0400598453995	0.237236727833907
ENST00000323303.9	3752	678	0.9301	-0.00742153175458	0.937748561732018
ENST00000448447.6	1021	615	0.8866	-0.0286988072321	0.867397775159251
ENST00000263270.10	935	429	1.3275	0.713215865432	0.997052733827074
ENST00000601649.1	315	315	1.3009	0.713493981998	0.98893129447609
ENST00000392514.9	1105	954	1.3408	0.46659157673	0.999964197983399
ENST00000551914.1	402	363	1.2686	0.510926851523	0.975497466812439
ENST00000360271.3	3201	1155	1.2996	0.517448378338	0.999996411902279
ENST00000474787.1	4412	651	1.2368	-0.0136757379406	0.967495593719272
ENST00000267116.8	8681	3231	1.2446	0.398755229662	1
ENST00000548081.1	556	429	1.2233	0.461771240096	0.981287546379701
ENST00000567379.5	694	303	1.2441	0.568816693998	0.963163262403415
ENST00000563798.1	459	267	1.2568	0.574160042199	0.950266099248284
ENST00000398439.8	5200	747	1.0265	0.208824635262	0.993627764745746
ENST00000587291.5	482	351	0.9967	0.159313189208	0.616461683944204
ENST00000332780.4	1972	1065	1.0534	0.301152125717	0.99992029755231
ENST00000462582.1	832	303	0.4952	-0.114401252976	0.0301376264181499
ENST00000547114.3	732	207	0.4391	-0.117828075791	0.00854262168505047
ENST00000625301.1	605	570	0.6048	0.0023138825528	0.648917215854654
ENST00000556529.3	809	378	1.1701	0.383668495639	0.938073896833067
ENST00000629763.2	838	600	1.2302	0.552828674518	0.998396044679555
ENST00000371464.8	1070	606	1.1904	0.563793187948	0.998369801171944
ENST00000366958.8	8240	2214	0.938	0.284229244362	0.999999999515427
ENST00000435016.2	3075	2214	0.938	0.284229244362	0.999999999634939
ENST00000221573.11	1520	1005	1.1157	0.403377586199	0.999933996470443
ENST00000597584.5	1413	294	1.0547	0.313726923798	0.71560500110555
ENST00000257905.13	1828	516	1.0215	0.346882690129	0.969835378382349
ENST00000553113.5	547	204	0.5405	-0.209891980376	0.00678216355848414
ENST00000375731.8	1577	1020	1.0116	0.147266524199	0.999620935572903
ENST00000303617.5	1490	933	1.0585	0.151383367269	0.999171868406221
ENST00000644541.1	2851	1557	0.7122	0.091239163442	0.999996056172878
ENST00000645041.1	1432	1392	0.8609	0.154197337778	0.999990553083705
ENST00000668754.1	7285	5376	0.922	0.157001774125	1
ENST00000302328.8	6502	5376	0.922	0.157001774125	1
ENST00000300571.7	5144	1212	1.2847	0.525312776463	0.999997882799211
ENST00000569102.1	491	87	0.7384	-0.331220896019	0.00174959436282706
ENST00000445622.5	693	414	1.2436	0.537011683363	0.986756343464172
ENST00000617207.4	1949	1257	1.2496	0.628351446157	0.999999351318054
ENST00000492469.2	552	435	0.8339	0.21362207064	0.764742230623806
ENST00000375499.7	1153	843	0.8349	0.301380560853	0.998066565484694
ENST00000475049.5	397	189	1.013	0.365297495359	0.493237831081772
