mRNA_size	ORF_size	Fickett_score	Hexamer_score	coding_prob
ENST00000316084.10	1474	792	1.0669	0.333978709432	0.998715243490889
ENST00000373626.4	594	369	1.1073	0.300451405434	0.870740142366968
ENST00000527420.5	1868	1182	1.0632	0.140011218231	0.999944979086851
ENST00000490994.6	1961	1263	1.0256	0.152465447541	0.999976413631846
ENST00000533320.5	2033	1215	0.9281	0.135239682094	0.999937057457378
ENST00000525991.5	1587	1167	1.0134	0.157450030198	0.999931560161057
ENST00000539050.5	2024	1263	1.0256	0.152465447541	0.999976332016837
ENST00000628935.1	924	924	1.0831	0.1540501504	0.999197388889422
ENST00000465530.2	1390	564	0.9127	0.235360401547	0.951648005309733
ENST00000378442.5	1492	258	1.1255	0.321131745481	0.690971550249147
ENST00000466269.1	581	258	1.1255	0.321131745481	0.701534682535443
ENST00000379692.9	2902	1707	0.9027	0.175393132404	0.999999770206892
ENST00000515757.5	564	435	0.9274	0.197663910888	0.802765755976313
ENST00000278193.7	4842	594	1.1527	0.120139297473	0.962822734348506
ENST00000524596.1	4290	522	1.2249	0.0963965251233	0.929806708943028
ENST00000446879.5	1582	900	0.622	-0.00494259001462	0.986183093345905
ENST00000440822.2	500	273	0.7893	-0.0827947353266	0.0702274595851689
ENST00000318037.3	5347	1716	0.6249	0.120000513706	0.999999133629824
ENST00000437070.1	2202	1215	0.7226	0.047343034115	0.999780114651458
ENST00000642693.1	455	408	0.788	0.0516643013368	0.43562801545716
ENST00000622774.1	1997	444	0.7786	-0.0572858372853	0.346546073363225
ENST00000316754.8	3556	645	1.1348	0.320553972218	0.993629780158784
ENST00000555125.1	548	537	1.2085	0.33394852594	0.987153033544028
ENST00000522911.5	677	519	1.1533	0.271303251759	0.972423592167389
ENST00000521590.5	507	411	1.0436	0.264073476242	0.874554297306204
ENST00000532291.5	784	525	0.9486	0.353626919773	0.968262920164688
ENST00000528432.1	480	387	0.9162	0.260509219853	0.771008752977522
ENST00000530789.1	314	105	0.8163	-0.0385937498382	0.0164432934103633
ENST00000527742.1	676	228	0.811	0.381591288823	0.449305669139865
ENST00000543426.5	3394	2937	0.9036	0.21633165248	0.999999999999806
ENST00000359320.7	1200	471	1.3264	0.603674405715	0.996355060490364
ENST00000342473.8	725	225	1.2978	0.620954927593	0.947393762145325
ENST00000382809.2	378	378	1.3584	0.611691260644	0.991626929564896
ENST00000520099.5	1861	651	0.7881	-0.0223347107797	0.873682646121548
ENST00000522144.1	415	300	0.5412	-0.111304178715	0.0354097961546744
ENST00000426197.2	1049	948	1.0776	0.285688587508	0.999716594933933
ENST00000458626.4	4122	819	0.9311	0.306883349483	0.997934325226718
ENST00000313028.12	3505	3078	1.2422	0.474596218979	1
ENST00000529311.5	529	318	1.0994	0.366199546424	0.847127824374622
ENST00000532660.1	545	114	0.5602	-0.197845152458	0.00286466565218453
ENST00000646651.1	878	594	1.0439	0.140501248005	0.961581231909078
ENST00000643045.1	824	504	1.0381	0.135952688211	0.897384456608522
ENST00000459957.5	873	330	1.0737	0.524072413905	0.936853243883991
ENST00000463189.1	894	639	0.9047	0.415000213812	0.992670538727863
ENST00000442235.6	958	858	1.0156	0.394072107251	0.999504977778571
ENST00000467536.1	548	222	0.9503	0.15723761538	0.241433896219311
ENST00000407572.6	682	267	0.8607	0.11825268312	0.232514383941112
ENST00000463663.6	617	399	0.906	0.136913648267	0.635430307349739
ENST00000433307.2	3704	1215	0.9639	0.132177947596	0.999937883170489
ENST00000428278.6	2678	1605	0.8274	0.179756911379	0.999999102920107
ENST00000521652.5	2433	1506	0.8274	0.190142777055	0.999997484368687
ENST00000644480.2	8502	5016	1.1344	0.410523187012	1
ENST00000646322.1	2356	2067	1.1427	0.426310783323	0.999999999621042
ENST00000403870.7	2830	1116	0.8946	0.0598964794214	0.9996471968882
ENST00000465148.3	3959	1152	0.8946	0.0517149931342	0.999736305837765
ENST00000224337.9	1784	1371	1.0203	0.171092389585	0.999993653309225
ENST00000485193.1	625	408	0.994	-0.0186475483309	0.503799684586786
ENST00000495266.1	440	198	0.9918	0.0526321537191	0.130206147150289
ENST00000392499.6	1132	537	0.8077	0.30012989065	0.938361554065895
ENST00000307944.6	844	537	0.8077	0.30012989065	0.939268617792399
ENST00000617050.1	3262	2454	1.2378	0.347859285381	0.999999999993916
ENST00000518325.2	4759	2799	1.2074	0.385601343975	0.999999999999877
ENST00000487349.5	3179	1764	1.0201	0.145060945322	0.999999901107968
ENST00000389601.3	3175	1764	0.9442	0.146839444855	0.9999998729403
ENST00000622527.1	2588	2436	1.127	0.312471977291	0.999999999986976
ENST00000522605.1	4602	2796	1.1549	0.349897401841	0.999999999999812
ENST00000320591.9	2323	849	0.6683	0.255317591878	0.995484326582672
ENST00000534837.5	2695	831	0.7013	0.249028650151	0.994777228916019
ENST00000555557.5	1949	1368	1.0068	0.0500852579017	0.999985540126246
ENST00000216774.11	2187	1515	1.0122	0.0501285019228	0.999997224161074
ENST00000382849.2	2790	642	0.5593	0.0485911290688	0.805961026967254
ENST00000635017.1	2298	2145	1.2286	0.540733553814	0.999999999941377
ENST00000514556.5	728	528	1.0349	0.0803402305775	0.890295559187225
ENST00000515732.1	713	531	1.069	0.0795086758024	0.903841135045639
ENST00000506607.2	471	444	1.2264	0.536290787091	0.989999264394432
ENST00000616117.5	1941	1941	1.2556	0.580340262646	0.999999999596387
