association_id,variant_id,risk_allele,risk_frequency,genome_wide,pvalue,pvalue_description,range,beta_number,beta_direction,chromosome_name,chromosome_position,functional_class,ensembl_gene_name,hgnc_symbol,group,type
41136253,rs58621819,T,0.2097,FALSE,2e-10,NA,[1.01-1.02],NA,NA,11,65547359,intron_variant,ENSG00000168056,LTBP3,OFC_female,DGE
41136409,rs12923444,C,0.4375,FALSE,2e-24,NA,[1.02-1.03],NA,NA,16,21628389,intron_variant,ENSG00000197006,METTL9,OFC_female,DGE
41135995,rs10789214,T,0.5661,FALSE,4e-10,NA,[1.009-1.018],NA,NA,1,66681134,intron_variant,ENSG00000118473,SGIP1,OFC_female,DTE
41136026,rs17641524,C,0.7909,FALSE,8e-20,NA,[1.02-1.03],NA,NA,1,197735587,splice_region_variant,ENSG00000213047,DENND1B,Cg25_male,DTE
41136085,rs45510091,A,0.9472,FALSE,8e-21,NA,[1.037-1.057],NA,NA,4,122265238,intron_variant,ENSG00000138688,BLTP1,Cg25_male,DGE
30547745,rs10127497,T,0.1382,FALSE,1e-08,NA,[0.0064-0.013],0.0097,increase,1,66584461,intron_variant,ENSG00000118473,SGIP1,OFC_female,DTE
30547749,rs6679379,T,0.2875,FALSE,3e-08,NA,[0.0047-0.0097],0.0072,increase,1,66733473,non_coding_transcript_exon_variant,ENSG00000118473,SGIP1,OFC_female,DTE
30547797,rs12118513,A,0.2148,FALSE,1e-07,NA,[0.0049-0.0103],0.0076,decrease,1,197547956,intron_variant,ENSG00000213047,DENND1B,Cg25_male,DTE
30547801,rs17641524,T,0.2086,FALSE,2e-07,NA,[0.0048-0.0102],0.0075,decrease,1,197735587,splice_region_variant,ENSG00000213047,DENND1B,Cg25_male,DTE
30547485,rs10929355,G,0.4558,FALSE,6e-09,NA,[0.005-0.01],0.0075,decrease,2,15258840,intron_variant,ENSG00000151779,NBAS,OFC_female,DGE
64732910,rs2894699,T,0.4305,FALSE,4e-09,NA,[0.017-0.033],0.024859993,decrease,7,114419101,intron_variant,ENSG00000128573,FOXP2,Sub_male,DGE
64733014,rs7146581,T,0.2246,FALSE,2e-08,NA,[0.018-0.037],0.027423386,increase,14,102834735,intron_variant,ENSG00000131323,TRAF3,Nac_female,DTE
64733043,rs2369818,T,0.4386,FALSE,3e-08,NA,[0.015-0.031],0.023054866,increase,16,21602688,intron_variant,ENSG00000197006,METTL9,OFC_female,DGE
