mRNA_size	ORF_size	Fickett_score	Hexamer_score	coding_prob
ENST00000641557.1	3409	927	1.1727	0.23934245544	0.999610629071576
ENST00000641057.1	3463	927	1.1727	0.23934245544	0.999609474929905
ENST00000296509.11	5227	618	0.8519	0.217344561476	0.954977661371406
ENST00000333047.9	1277	273	1.001	0.218674050054	0.483345435182973
ENST00000533024.5	913	516	1.0085	0.253888753884	0.948412059047544
ENST00000310611.8	5009	516	1.0085	0.253888753884	0.936249932049556
ENST00000358514.9	977	822	1.2142	0.530898591422	0.999836987124951
ENST00000574576.2	539	225	1.144	0.360323904699	0.687685964382907
ENST00000393459.5	3098	978	1.2668	0.399873366554	0.999940930945387
ENST00000224807.9	3089	978	1.2668	0.399873366554	0.999940960085961
ENST00000243662.11	1432	636	1.1872	0.364857509152	0.995990134964183
ENST00000526372.1	1007	414	1.0651	0.208195284338	0.843303886883642
ENST00000522911.5	677	519	1.1533	0.271303251759	0.972423592167389
ENST00000521590.5	507	411	1.0436	0.264073476242	0.874554297306204
ENST00000647395.1	1918	1062	0.9211	0.139617772407	0.999654520750883
ENST00000649095.1	2186	1482	0.866	0.142304221119	0.999996201054364
ENST00000445696.6	1505	1050	0.8582	0.141683844749	0.999526239375443
ENST00000645603.2	1912	1482	0.866	0.142304221119	0.99999625770204
ENST00000648612.1	171	171	0.6826	0.0880772216643	0.0457718696736761
ENST00000522840.1	572	141	1.1245	0.175995112557	0.207832461954675
ENST00000518237.6	1849	1212	0.9763	0.166389837722	0.999954825478873
ENST00000359140.8	3147	2211	1.2928	0.464526632308	0.999999999962646
ENST00000404464.7	3229	2298	1.2871	0.472851907818	0.999999999986254
ENST00000470907.6	2837	1179	0.7595	0.357472331635	0.999954317787295
ENST00000264094.8	3689	2262	0.8119	0.3757457198	0.999999999804403
ENST00000409249.5	2431	1416	0.8089	0.390222774262	0.999997820817386
ENST00000498016.1	400	270	1.0008	0.109228615088	0.328064115921307
ENST00000639832.1	2564	1002	1.2371	0.378124552918	0.999944561068972
ENST00000473174.1	735	510	1.2228	0.296533168912	0.979197103383755
ENST00000491059.1	367	162	0.9542	-0.0819857667928	0.0375283406044972
ENST00000374118.8	2001	1542	1.1169	0.354263647498	0.999999776380358
ENST00000543968.5	766	531	1.3009	0.362812505639	0.991476010891301
ENST00000544208.1	351	162	1.2003	0.0621083374024	0.179346731772338
ENST00000610704.5	3651	2016	1.2194	0.51711456801	0.99999999968151
ENST00000462740.1	223	45	0.8494	0.518995423386	0.221003053918531
ENST00000258711.7	15979	1245	1.2993	0.725985437836	0.999999254030499
ENST00000618655.2	15985	1245	1.2993	0.725985437836	0.999999253785044
ENST00000437775.6	1447	927	1.1051	0.422552255938	0.999854749666385
ENST00000357419.8	1463	609	1.2388	0.472826019922	0.997634188676949
ENST00000222800.7	1483	948	1.1547	0.405866801912	0.999892681745554
