gene,aINS_female,Cg25_female,dlPFC_female,Nac_female,OFC_female,Sub_female,GENENAME,SYMBOL,exclusive
ENSG00000198563,1,1,1,1,1,0,DExD-box helicase 39B,DDX39B,5
ENSG00000137343,0,1,1,1,1,0,alpha tubulin acetyltransferase 1,ATAT1,4
ENSG00000170144,1,0,0,1,0,0,heterogeneous nuclear ribonucleoprotein A3,HNRNPA3,2
ENSG00000147145,0,1,0,0,1,0,lysophosphatidic acid receptor 4,LPAR4,2
ENSG00000101972,0,1,0,0,1,0,stromal antigen 2,STAG2,2
ENSG00000253488,0,1,0,0,1,0,NA,NA,2
ENSG00000118972,0,1,0,0,1,0,fibroblast growth factor 23,FGF23,2
ENSG00000236523,0,1,0,0,1,0,NA,NA,2
ENSG00000130300,0,1,0,0,0,1,plasmalemma vesicle associated protein,PLVAP,2
ENSG00000136270,0,1,0,0,1,0,transforming growth factor beta regulator 4,TBRG4,2
ENSG00000198838,0,1,1,0,0,0,ryanodine receptor 3,RYR3,2
ENSG00000132207,0,1,0,0,1,0,"SLX1 homolog A, structure-specific endonuclease subunit",SLX1A,2
ENSG00000124191,0,1,0,0,0,1,TOX high mobility group box family member 2,TOX2,2
ENSG00000166435,0,0,1,0,1,0,X-ray radiation resistance associated 1,XRRA1,2
ENSG00000144820,0,0,1,0,1,0,adhesion G protein-coupled receptor G7,ADGRG7,2
ENSG00000204866,0,0,1,0,1,0,IGF like family member 2,IGFL2,2
ENSG00000172469,0,0,1,0,1,0,mannosidase endo-alpha,MANEA,2
ENSG00000204592,0,0,1,0,0,1,"major histocompatibility complex, class I, E",HLA-E,2
ENSG00000133624,0,0,1,0,1,0,"zinc finger family member 767, pseudogene",ZNF767P,2
ENSG00000241859,0,0,1,0,1,0,NA,NA,2
ENSG00000124469,0,0,1,0,1,0,CEA cell adhesion molecule 8,CEACAM8,2
ENSG00000187094,0,0,1,0,1,0,cholecystokinin,CCK,2
ENSG00000157103,0,0,0,1,1,0,solute carrier family 6 member 1,SLC6A1,2
ENSG00000141480,0,0,0,1,1,0,arrestin beta 2,ARRB2,2
ENSG00000163872,1,0,0,0,0,0,YEATS domain containing 2,YEATS2,1
ENSG00000132424,1,0,0,0,0,0,PNN interacting serine and arginine rich protein,PNISR,1
ENSG00000249055,1,0,0,0,0,0,NA,NA,1
ENSG00000258780,1,0,0,0,0,0,NA,NA,1
ENSG00000237257,1,0,0,0,0,0,NA,NA,1
ENSG00000180901,1,0,0,0,0,0,potassium channel tetramerization domain containing 2,KCTD2,1
ENSG00000205129,1,0,0,0,0,0,chromosome 4 open reading frame 47,C4orf47,1
ENSG00000099960,1,0,0,0,0,0,solute carrier family 7 member 4,SLC7A4,1
ENSG00000100350,1,0,0,0,0,0,FAD dependent oxidoreductase domain containing 2,FOXRED2,1
ENSG00000108387,1,0,0,0,0,0,septin 4,SEPTIN4,1
ENSG00000165675,1,0,0,0,0,0,ecto-NOX disulfide-thiol exchanger 2,ENOX2,1
ENSG00000077684,1,0,0,0,0,0,jade family PHD finger 1,JADE1,1
ENSG00000140939,1,0,0,0,0,0,nucleolar protein 3,NOL3,1
ENSG00000165458,1,0,0,0,0,0,inositol polyphosphate phosphatase like 1,INPPL1,1
ENSG00000079432,1,0,0,0,0,0,capicua transcriptional repressor,CIC,1
ENSG00000027075,1,0,0,0,0,0,protein kinase C eta,PRKCH,1
ENSG00000020181,1,0,0,0,0,0,adhesion G protein-coupled receptor A2,ADGRA2,1
ENSG00000184110,1,0,0,0,0,0,eukaryotic translation initiation factor 3 subunit C,EIF3C,1
ENSG00000180537,1,0,0,0,0,0,ring finger protein 182,RNF182,1
ENSG00000100473,1,0,0,0,0,0,cochlin,COCH,1
ENSG00000167371,1,0,0,0,0,0,proline rich transmembrane protein 2,PRRT2,1
ENSG00000100351,1,0,0,0,0,0,GRB2 related adaptor protein 2,GRAP2,1
ENSG00000125409,1,0,0,0,0,0,tektin 3,TEKT3,1
ENSG00000127980,1,0,0,0,0,0,peroxisomal biogenesis factor 1,PEX1,1
ENSG00000253304,1,0,0,0,0,0,transmembrane protein 200B,TMEM200B,1
ENSG00000170579,1,0,0,0,0,0,DLG associated protein 1,DLGAP1,1
ENSG00000139517,1,0,0,0,0,0,ligand of numb-protein X 2,LNX2,1
ENSG00000286140,1,0,0,0,0,0,DERPC proline and glycine rich nuclear protein,DERPC,1
ENSG00000078269,1,0,0,0,0,0,synaptojanin 2,SYNJ2,1
ENSG00000147509,1,0,0,0,0,0,regulator of G protein signaling 20,RGS20,1
ENSG00000088727,1,0,0,0,0,0,kinesin family member 9,KIF9,1
ENSG00000224916,1,0,0,0,0,0,NA,NA,1
ENSG00000161921,1,0,0,0,0,0,C-X-C motif chemokine ligand 16,CXCL16,1
ENSG00000251192,1,0,0,0,0,0,zinc finger protein 674,ZNF674,1
ENSG00000107789,1,0,0,0,0,0,multiple inositol-polyphosphate phosphatase 1,MINPP1,1
ENSG00000165804,1,0,0,0,0,0,zinc finger protein 219,ZNF219,1
ENSG00000162599,1,0,0,0,0,0,nuclear factor I A,NFIA,1
ENSG00000280670,1,0,0,0,0,0,coiled-coil domain containing 163,CCDC163,1
ENSG00000104894,1,0,0,0,0,0,CD37 molecule,CD37,1
ENSG00000163793,1,0,0,0,0,0,DnaJ heat shock protein family (Hsp40) member C5 gamma,DNAJC5G,1
ENSG00000051620,1,0,0,0,0,0,heme binding protein 2,HEBP2,1
ENSG00000206053,1,0,0,0,0,0,Jupiter microtubule associated homolog 2,JPT2,1
ENSG00000242114,1,0,0,0,0,0,mitochondrial fission process 1,MTFP1,1
ENSG00000243678,1,0,0,0,0,0,NME/NM23 nucleoside diphosphate kinase 2,NME2,1
ENSG00000188599,1,0,0,0,0,0,NA,NA,1
ENSG00000007062,1,0,0,0,0,0,prominin 1,PROM1,1
ENSG00000068354,1,0,0,0,0,0,TBC1 domain family member 25,TBC1D25,1
ENSG00000167619,1,0,0,0,0,0,transmembrane protein 145,TMEM145,1
ENSG00000185262,1,0,0,0,0,0,UBA like domain containing 2,UBALD2,1
ENSG00000092470,1,0,0,0,0,0,WD repeat domain 76,WDR76,1
ENSG00000269955,0,1,0,0,0,0,FMC1-LUC7L2 readthrough,FMC1-LUC7L2,1
ENSG00000109917,0,1,0,0,0,0,ZPR1 zinc finger,ZPR1,1
ENSG00000238118,0,1,0,0,0,0,NA,NA,1
ENSG00000243746,0,1,0,0,0,0,NA,NA,1
ENSG00000215812,0,1,0,0,0,0,NA,NA,1
ENSG00000163586,0,1,0,0,0,0,fatty acid binding protein 1,FABP1,1
ENSG00000242683,0,1,0,0,0,0,NA,NA,1
ENSG00000167977,0,1,0,0,0,0,potassium channel tetramerization domain containing 5,KCTD5,1
ENSG00000183826,0,1,0,0,0,0,BTB domain containing 9,BTBD9,1
ENSG00000151657,0,1,0,0,0,0,Kin17 DNA and RNA binding protein,KIN,1
ENSG00000206418,0,1,0,0,0,0,"RAB12, member RAS oncogene family",RAB12,1
ENSG00000237649,0,1,0,0,0,0,kinesin family member C1,KIFC1,1
ENSG00000284631,0,1,0,0,0,0,NA,NA,1
ENSG00000257108,0,1,0,0,0,0,NHL repeat containing 4,NHLRC4,1
ENSG00000069764,0,1,0,0,0,0,phospholipase A2 group X,PLA2G10,1
ENSG00000189127,0,1,0,0,0,0,ankyrin repeat domain 34B,ANKRD34B,1
ENSG00000250486,0,1,0,0,0,0,family with sequence similarity 218 member A,FAM218A,1
ENSG00000139793,0,1,0,0,0,0,muscleblind like splicing regulator 2,MBNL2,1
ENSG00000165219,0,1,0,0,0,0,GTPase activating protein and VPS9 domains 1,GAPVD1,1
ENSG00000106013,0,1,0,0,0,0,ankyrin repeat domain 7,ANKRD7,1
ENSG00000100884,0,1,0,0,0,0,copine 6,CPNE6,1
ENSG00000154864,0,1,0,0,0,0,piezo type mechanosensitive ion channel component 2,PIEZO2,1
ENSG00000091656,0,1,0,0,0,0,zinc finger homeobox 4,ZFHX4,1
ENSG00000064933,0,1,0,0,0,0,"PMS1 homolog 1, mismatch repair system component",PMS1,1
ENSG00000107679,0,1,0,0,0,0,pleckstrin homology domain containing A1,PLEKHA1,1
ENSG00000107798,0,1,0,0,0,0,"lipase A, lysosomal acid type",LIPA,1
ENSG00000255154,0,1,0,0,0,0,hydroxyacyl-thioester dehydratase type 2,HTD2,1
ENSG00000099840,0,1,0,0,0,0,IZUMO family member 4,IZUMO4,1
ENSG00000165995,0,1,0,0,0,0,calcium voltage-gated channel auxiliary subunit beta 2,CACNB2,1
ENSG00000167380,0,1,0,0,0,0,zinc finger protein 226,ZNF226,1
ENSG00000136108,0,1,0,0,0,0,cytoskeleton associated protein 2,CKAP2,1
ENSG00000171298,0,1,0,0,0,0,"glucosidase alpha, acid",GAA,1
ENSG00000198569,0,1,0,0,0,0,solute carrier family 34 member 3,SLC34A3,1
ENSG00000111877,0,1,0,0,0,0,minichromosome maintenance 9 homologous recombination repair factor,MCM9,1
ENSG00000180815,0,1,0,0,0,0,mitogen-activated protein kinase kinase kinase 15,MAP3K15,1
ENSG00000281106,0,1,0,0,0,0,transmembrane protein 272,TMEM272,1
ENSG00000140395,0,1,0,0,0,0,WD repeat domain 61,WDR61,1
ENSG00000099998,0,1,0,0,0,0,gamma-glutamyltransferase 5,GGT5,1
