mRNA_size	ORF_size	Fickett_score	Hexamer_score	coding_prob
ENST00000368811.8	671	294	1.1773	0.197237004808	0.663555445969639
ENST00000368809.1	616	294	1.1773	0.197237004808	0.664228371942947
ENST00000485070.5	1574	732	0.8818	0.187852512979	0.988505701321366
ENST00000315184.9	1718	1035	1.0347	0.193310090173	0.999774405531863
ENST00000621392.4	1591	732	0.8818	0.187852512979	0.98849510544906
ENST00000547235.5	710	141	0.8048	0.129677940234	0.0612990370418114
ENST00000458643.3	1342	1263	1.1239	0.208541232462	0.999988439428661
ENST00000481806.1	1487	810	1.1716	0.284803215908	0.99901223406669
ENST00000421464.1	557	516	0.4029	-0.0948148759878	0.218809992544728
ENST00000357604.10	5168	3819	1.1334	0.189453506601	1
ENST00000460569.1	640	363	1.0363	0.546091621008	0.956216748184657
ENST00000375754.9	4973	1908	1.0887	0.399012218723	0.999999996316629
ENST00000375746.1	4990	1908	1.0887	0.399012218723	0.999999996313194
ENST00000530555.1	449	213	1.1968	-0.133562937955	0.103862404993221
ENST00000528127.1	598	168	1.2712	0.702295325763	0.934749170447225
ENST00000402506.5	2268	927	1.1676	0.540978310347	0.999940291723238
ENST00000402045.5	2058	753	1.2098	0.636430773406	0.999799704671917
ENST00000614382.1	1969	747	1.2439	0.658618693742	0.999834348932641
ENST00000547357.5	1665	1602	0.8463	0.06124450006	0.999998312205369
ENST00000550058.1	568	534	1.0791	0.0486332702792	0.893749104543806
ENST00000551722.1	765	477	0.7933	0.0437522373934	0.614506245546604
ENST00000333046.8	2109	1302	1.0902	0.431035410209	0.999997730966616
ENST00000541945.1	130	51	0.9244	-0.353142472005	0.00198244471297445
ENST00000482640.5	749	345	0.7932	-0.0426034700563	0.177409890763085
ENST00000264265.4	1071	669	0.9033	0.0963613388954	0.964291727420644
ENST00000159647.9	2964	1932	1.3011	0.727239765221	0.999999999834501
ENST00000395842.2	3051	2034	1.2813	0.744342763732	0.999999999948733
ENST00000358120.3	1942	939	1.0123	0.125486142066	0.998911039794733
ENST00000641893.1	1817	939	1.0123	0.125486142066	0.998918469865935
ENST00000641714.1	1948	939	1.0123	0.125486142066	0.998910681871635
ENST00000507652.5	2270	153	0.9579	-0.0238390459062	0.0437788826564472
ENST00000507969.5	533	117	1.0181	-0.150731215856	0.0188196614729418
ENST00000219204.8	1969	492	0.9125	0.312900691975	0.931646722270202
ENST00000565794.1	234	159	0.721	-0.114708919577	0.0137464593535189
ENST00000613167.4	7578	486	1.2713	0.412318289871	0.983336431430665
ENST00000219207.10	1497	549	1.3307	0.459627237105	0.996344402710139
ENST00000164024.5	11933	9939	1.0194	0.420044563362	1
ENST00000470999.1	564	231	0.7493	0.0308852054428	0.0755332894578676
ENST00000259456.7	2192	1455	1.202	0.0540684161329	0.999997242526542
ENST00000616898.2	2084	1455	1.202	0.0540684161329	0.99999725880739
ENST00000285402.4	1026	753	0.8685	0.0966430783544	0.984015207611556
ENST00000518835.1	368	132	1.2995	-0.131181311933	0.0636659745620086
ENST00000457658.6	2417	225	0.5081	-0.0750235446869	0.0155577913452013
ENST00000440408.5	5284	159	0.4782	-0.177789990029	0.00311068670305951
ENST00000651177.1	9640	7668	1.0243	0.0232183765386	1
ENST00000493168.1	787	273	1.2331	0.213728115398	0.674870920498648
ENST00000482771.1	569	168	0.9403	0.0620892922056	0.0861177888161041
ENST00000463914.1	606	243	1.0502	0.333562197111	0.622761999056292
ENST00000477715.5	2169	537	0.8616	0.0681337059739	0.809069459317118
ENST00000477047.6	1592	630	0.8461	0.00669692360954	0.889911073224886
ENST00000274432.13	1210	765	0.8078	0.0359073847571	0.975068222538433
ENST00000489917.1	1046	408	0.8661	-0.00296725182286	0.412503509557276
ENST00000514389.5	300	123	0.6991	0.0904717050648	0.0290314948988912
ENST00000325630.3	485	243	0.5853	0.0459503158443	0.0552018588954243
ENST00000621437.4	605	243	0.5853	0.0459503158443	0.0548596970281828
ENST00000383052.5	5113	2406	1.0845	0.164570307816	0.999999999940566
ENST00000469869.1	678	342	1.1464	0.254992287513	0.81149716177161
ENST00000443793.1	567	273	1.1682	0.225364855305	0.643194349934147
ENST00000361365.7	1339	435	1.0487	0.180733310962	0.842450970601083
ENST00000382772.3	746	384	1.1139	0.218907493987	0.831307474716516
ENST00000464196.5	3148	321	0.5962	-0.337538170091	0.0120939705027179
ENST00000463440.1	614	126	0.6404	-0.041907598915	0.0109953200406311
ENST00000495677.1	594	327	1.2008	0.128745128291	0.672162011137683
ENST00000367460.4	2145	708	0.7397	-0.0365666308438	0.909112548098732
ENST00000492967.5	605	309	0.5652	-0.0861635540775	0.0483767386901066
ENST00000491257.1	564	204	1.1121	0.164656245983	0.322059792225972
ENST00000425923.1	463	249	0.8691	0.115051603157	0.201972890127233
ENST00000593194.5	721	579	1.231	0.749809301923	0.99939109490691
ENST00000589745.5	529	393	1.231	0.742431036174	0.994973837337839
ENST00000372907.7	2341	1389	1.1529	0.313615700886	0.999998573629164
ENST00000324762.10	2107	909	1.1338	0.201407725777	0.999361853943376
ENST00000371996.9	2470	1464	0.9071	0.253402001413	0.999997912791804
ENST00000536010.1	2215	861	0.8564	0.0409561105805	0.992486101679954
ENST00000331090.11	920	801	0.8317	0.132772096475	0.991466755988898
ENST00000560581.1	833	717	0.9508	0.151636705739	0.987197671164856
ENST00000436697.3	944	165	0.9401	-0.032840993704	0.0477493209489592
ENST00000567948.1	801	165	0.9401	-0.032840993704	0.048107107017103
ENST00000408968.4	668	378	1.3234	0.370218287899	0.959784244606945
ENST00000525554.1	80	36	0.8345	-0.236660436533	0.00249847991533668
ENST00000470579.5	876	792	0.9091	0.311789133485	0.997552099747945
ENST00000412735.5	2038	1293	1.0367	0.370086669161	0.999995648909495
ENST00000467498.5	940	480	1.1298	0.486588540598	0.987099280134979
ENST00000651438.1	5408	4020	0.9391	0.355119153861	1
ENST00000355480.10	5891	4560	0.9866	0.357883938518	1
ENST00000459895.1	588	291	0.8482	0.165709881867	0.337241320731209
ENST00000361560.6	1597	1068	0.7308	0.22081298736	0.999626298251383
ENST00000504809.5	1193	1080	0.724	0.20936659157	0.999649284262767
ENST00000398754.1	1498	1056	0.749	0.234609935026	0.999632828931659
ENST00000329214.13	2095	870	1.2327	0.459063804024	0.999853023585574
ENST00000575223.5	1888	870	1.2327	0.459063804024	0.99985468210644
ENST00000540035.5	2199	1557	0.88	0.110626465974	0.999998102910059
ENST00000584046.1	553	495	0.8848	0.0389068157904	0.724184028348837
ENST00000585155.1	348	48	0.8762	-0.529689399527	0.000550327904739934
ENST00000620089.4	1947	1557	0.88	0.110626465974	0.999998128942749
ENST00000265512.11	1993	1143	1.1061	0.130151967446	0.999921522364653
ENST00000629236.2	1974	1176	1.1061	0.119904859158	0.999942327695395
ENST00000269967.4	3329	1032	1.1362	0.625562071949	0.999986961112876
ENST00000596882.1	413	57	0.9708	-0.297983751993	0.00341838289411806
ENST00000402061.7	525	351	1.3114	0.498122224795	0.973737760301068
ENST00000255784.5	1270	690	1.3108	0.54994079383	0.999536949400784
ENST00000425529.7	658	417	0.7385	-0.0892398361405	0.23235779061564
ENST00000502493.2	354	228	0.9657	0.156980993475	0.265896886280426
ENST00000510264.6	1073	234	0.9829	0.135219104173	0.257194134052612
ENST00000513164.2	354	228	0.9657	0.156980993475	0.265896886280426
ENST00000444242.1	1191	393	0.7458	-0.0515875308722	0.224587616210019
ENST00000652562.1	647	102	0.799	-0.107291499295	0.00976060066109789
ENST00000441139.5	3461	438	0.9618	0.14758096931	0.748956305782031
ENST00000651484.1	3118	288	0.5573	-0.171026872955	0.0199555245465847
ENST00000598522.5	853	117	0.7311	-0.128054465401	0.007977434209767
ENST00000598559.1	801	117	0.7311	-0.128054465401	0.00800002991416607
ENST00000604583.1	345	150	0.5974	0.0656039518313	0.0238509629464173
ENST00000603373.1	279	63	1.1471	-0.37565620659	0.00421748016751907
ENST00000414782.1	543	162	0.4264	-0.0626667610111	0.00699012918330274
ENST00000428436.1	543	174	0.4632	-0.307091907634	0.00206951120913844
